Year,Units,Series,Value
1995,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",19.0
1996,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
1996,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",15.0
1997,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
1997,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",15.3
1998,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
1998,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",17.6
1999,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
1999,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",13.8
2000,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
2000,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",15.1
2001,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
2001,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",11.0
2002,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
2002,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",12.5
2003,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
2003,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",13.9
2004,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
2004,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",12.7
2005,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
2005,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",9.8
2006,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
2006,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",9.2
2007,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
2007,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",9.2
2008,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
2008,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",14.0
2009,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
2009,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",12.4
2010,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
2010,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",9.8
2011,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
2011,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",12.9
2012,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
2012,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",9.7
2013,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
2013,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",12.4
2014,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
2014,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",14.6
2015,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
2015,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",7.9
2016,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
2016,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",7.5
2017,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
2017,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",6.6
2018,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
2018,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",4.7
2019,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
2019,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",5.7
2020,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
2020,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",1.7
2021,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
2021,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",4.5
2022,In number,"Adolescent birth rate (aged 10-14 years) per 1,000 women in that age group",0.0
2022,In number,"Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group",1.6
