Year,Series,flokkur,eind,Value
2016,Løgting,Framburðsflokkurin,Tal av sætum hjá kvinnum,
2016,Løgting,Framburðsflokkurin,Tal av sætum,
2019,Løgting,Framburðsflokkurin,Partur av sætum hjá kvinnum,
2019,Løgting,Framburðsflokkurin,Tal av sætum hjá kvinnum,
2019,Løgting,Framburðsflokkurin,Tal av sætum,
2020,Løgting,Framburðsflokkurin,Partur av sætum hjá kvinnum,
2020,Løgting,Framburðsflokkurin,Tal av sætum hjá kvinnum,
2020,Løgting,Framburðsflokkurin,Tal av sætum,
2022,Løgting,Framburðsflokkurin,Partur av sætum hjá kvinnum,
2022,Løgting,Framburðsflokkurin,Tal av sætum hjá kvinnum,
2022,Løgting,Framburðsflokkurin,Tal av sætum,
1984,Løgting,Framsókn,Partur av sætum hjá kvinnum,
1984,Løgting,Framsókn,Tal av sætum hjá kvinnum,
1984,Løgting,Framsókn,Tal av sætum,
1988,Løgting,Framsókn,Partur av sætum hjá kvinnum,
1988,Løgting,Framsókn,Tal av sætum hjá kvinnum,
1988,Løgting,Framsókn,Tal av sætum,
1990,Løgting,Framsókn,Partur av sætum hjá kvinnum,
1990,Løgting,Framsókn,Tal av sætum hjá kvinnum,
1990,Løgting,Framsókn,Tal av sætum,
1992,Løgting,Framsókn,Partur av sætum hjá kvinnum,
1992,Løgting,Framsókn,Tal av sætum hjá kvinnum,
1992,Løgting,Framsókn,Tal av sætum,
1994,Løgting,Framsókn,Partur av sætum hjá kvinnum,
1994,Løgting,Framsókn,Tal av sætum hjá kvinnum,
1994,Løgting,Framsókn,Tal av sætum,
1996,Løgting,Framsókn,Partur av sætum hjá kvinnum,
1996,Løgting,Framsókn,Tal av sætum hjá kvinnum,
1996,Løgting,Framsókn,Tal av sætum,
1998,Løgting,Framsókn,Partur av sætum hjá kvinnum,
1998,Løgting,Framsókn,Tal av sætum hjá kvinnum,
1998,Løgting,Framsókn,Tal av sætum,
2000,Løgting,Framsókn,Partur av sætum hjá kvinnum,
2000,Løgting,Framsókn,Tal av sætum hjá kvinnum,
2000,Løgting,Framsókn,Tal av sætum,
2002,Løgting,Framsókn,Partur av sætum hjá kvinnum,
2002,Løgting,Framsókn,Tal av sætum hjá kvinnum,
2002,Løgting,Framsókn,Tal av sætum,
2004,Løgting,Framsókn,Partur av sætum hjá kvinnum,
2004,Løgting,Framsókn,Tal av sætum hjá kvinnum,
2004,Løgting,Framsókn,Tal av sætum,
2008,Løgting,Framsókn,Partur av sætum hjá kvinnum,
2008,Løgting,Framsókn,Tal av sætum hjá kvinnum,
2008,Løgting,Framsókn,Tal av sætum,
2011,Løgting,Framsókn,Partur av sætum hjá kvinnum,0.0
2011,Løgting,Framsókn,Tal av sætum hjá kvinnum,0.0
2011,Løgting,Framsókn,Tal av sætum,2.0
2012,Løgting,Framsókn,Partur av sætum hjá kvinnum,
2012,Løgting,Framsókn,Tal av sætum hjá kvinnum,
2012,Løgting,Framsókn,Tal av sætum,
2015,Løgting,Framsókn,Partur av sætum hjá kvinnum,50.0
2015,Løgting,Framsókn,Tal av sætum hjá kvinnum,1.0
2015,Løgting,Framsókn,Tal av sætum,2.0
2016,Løgting,Framsókn,Partur av sætum hjá kvinnum,
2016,Løgting,Framsókn,Tal av sætum hjá kvinnum,
2016,Løgting,Framsókn,Tal av sætum,
