Year,Series,flokkur,eind,Value
2015,Kommunustýri,Javnaðarflokkurin,Partur av sætum hjá kvinnum,
2015,Kommunustýri,Javnaðarflokkurin,Tal av sætum hjá kvinnum,
2015,Kommunustýri,Javnaðarflokkurin,Tal av sætum,
2016,Kommunustýri,Javnaðarflokkurin,Partur av sætum hjá kvinnum,
2016,Kommunustýri,Javnaðarflokkurin,Tal av sætum hjá kvinnum,
2016,Kommunustýri,Javnaðarflokkurin,Tal av sætum,
2019,Kommunustýri,Javnaðarflokkurin,Partur av sætum hjá kvinnum,
2019,Kommunustýri,Javnaðarflokkurin,Tal av sætum hjá kvinnum,
2019,Kommunustýri,Javnaðarflokkurin,Tal av sætum,
2020,Kommunustýri,Javnaðarflokkurin,Partur av sætum hjá kvinnum,
2020,Kommunustýri,Javnaðarflokkurin,Tal av sætum hjá kvinnum,
2020,Kommunustýri,Javnaðarflokkurin,Tal av sætum,
2022,Kommunustýri,Javnaðarflokkurin,Partur av sætum hjá kvinnum,
2022,Kommunustýri,Javnaðarflokkurin,Tal av sætum hjá kvinnum,
2022,Kommunustýri,Javnaðarflokkurin,Tal av sætum,
1984,Kommunustýri,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
1984,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
1984,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum,
1988,Kommunustýri,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
1988,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
1988,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum,
1990,Kommunustýri,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
1990,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
1990,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum,
1992,Kommunustýri,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
1992,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
1992,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum,
1994,Kommunustýri,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
1994,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
1994,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum,
1996,Kommunustýri,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
1996,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
1996,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum,
1998,Kommunustýri,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
1998,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
1998,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum,
2000,Kommunustýri,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
2000,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
2000,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum,
2002,Kommunustýri,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
2002,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
2002,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum,
2004,Kommunustýri,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
2004,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
2004,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum,
2008,Kommunustýri,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
2008,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
2008,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum,
2011,Kommunustýri,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
2011,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
2011,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum,
2012,Kommunustýri,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
2012,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
2012,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum,
2015,Kommunustýri,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
2015,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
2015,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum,
2016,Kommunustýri,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
2016,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
2016,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum,
2019,Kommunustýri,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
2019,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
2019,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum,
2020,Kommunustýri,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
2020,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
2020,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum,
2022,Kommunustýri,Kristiligi Fólkaflokkurin,Partur av sætum hjá kvinnum,
2022,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum hjá kvinnum,
2022,Kommunustýri,Kristiligi Fólkaflokkurin,Tal av sætum,
1984,Kommunustýri,Miðflokkurin,Partur av sætum hjá kvinnum,
1984,Kommunustýri,Miðflokkurin,Tal av sætum hjá kvinnum,
1984,Kommunustýri,Miðflokkurin,Tal av sætum,
1988,Kommunustýri,Miðflokkurin,Partur av sætum hjá kvinnum,
1988,Kommunustýri,Miðflokkurin,Tal av sætum hjá kvinnum,
1988,Kommunustýri,Miðflokkurin,Tal av sætum,
1990,Kommunustýri,Miðflokkurin,Partur av sætum hjá kvinnum,
1990,Kommunustýri,Miðflokkurin,Tal av sætum hjá kvinnum,
1990,Kommunustýri,Miðflokkurin,Tal av sætum,
1992,Kommunustýri,Miðflokkurin,Partur av sætum hjá kvinnum,
1992,Kommunustýri,Miðflokkurin,Tal av sætum hjá kvinnum,
1992,Kommunustýri,Miðflokkurin,Tal av sætum,
1994,Kommunustýri,Miðflokkurin,Partur av sætum hjá kvinnum,
1994,Kommunustýri,Miðflokkurin,Tal av sætum hjá kvinnum,
1994,Kommunustýri,Miðflokkurin,Tal av sætum,
1996,Kommunustýri,Miðflokkurin,Partur av sætum hjá kvinnum,
1996,Kommunustýri,Miðflokkurin,Tal av sætum hjá kvinnum,
1996,Kommunustýri,Miðflokkurin,Tal av sætum,
1998,Kommunustýri,Miðflokkurin,Partur av sætum hjá kvinnum,
1998,Kommunustýri,Miðflokkurin,Tal av sætum hjá kvinnum,
1998,Kommunustýri,Miðflokkurin,Tal av sætum,
2000,Kommunustýri,Miðflokkurin,Partur av sætum hjá kvinnum,
2000,Kommunustýri,Miðflokkurin,Tal av sætum hjá kvinnum,
2000,Kommunustýri,Miðflokkurin,Tal av sætum,
2002,Kommunustýri,Miðflokkurin,Partur av sætum hjá kvinnum,
2002,Kommunustýri,Miðflokkurin,Tal av sætum hjá kvinnum,
2002,Kommunustýri,Miðflokkurin,Tal av sætum,
2004,Kommunustýri,Miðflokkurin,Partur av sætum hjá kvinnum,
2004,Kommunustýri,Miðflokkurin,Tal av sætum hjá kvinnum,
2004,Kommunustýri,Miðflokkurin,Tal av sætum,
2008,Kommunustýri,Miðflokkurin,Partur av sætum hjá kvinnum,
2008,Kommunustýri,Miðflokkurin,Tal av sætum hjá kvinnum,
2008,Kommunustýri,Miðflokkurin,Tal av sætum,
2011,Kommunustýri,Miðflokkurin,Partur av sætum hjá kvinnum,
2011,Kommunustýri,Miðflokkurin,Tal av sætum hjá kvinnum,
2011,Kommunustýri,Miðflokkurin,Tal av sætum,
2012,Kommunustýri,Miðflokkurin,Partur av sætum hjá kvinnum,
2012,Kommunustýri,Miðflokkurin,Tal av sætum hjá kvinnum,
2012,Kommunustýri,Miðflokkurin,Tal av sætum,
2015,Kommunustýri,Miðflokkurin,Partur av sætum hjá kvinnum,
2015,Kommunustýri,Miðflokkurin,Tal av sætum hjá kvinnum,
2015,Kommunustýri,Miðflokkurin,Tal av sætum,
2016,Kommunustýri,Miðflokkurin,Partur av sætum hjá kvinnum,
2016,Kommunustýri,Miðflokkurin,Tal av sætum hjá kvinnum,
2016,Kommunustýri,Miðflokkurin,Tal av sætum,
2019,Kommunustýri,Miðflokkurin,Partur av sætum hjá kvinnum,
2019,Kommunustýri,Miðflokkurin,Tal av sætum hjá kvinnum,
2019,Kommunustýri,Miðflokkurin,Tal av sætum,
2020,Kommunustýri,Miðflokkurin,Partur av sætum hjá kvinnum,
2020,Kommunustýri,Miðflokkurin,Tal av sætum hjá kvinnum,
2020,Kommunustýri,Miðflokkurin,Tal av sætum,
2022,Kommunustýri,Miðflokkurin,Partur av sætum hjá kvinnum,
2022,Kommunustýri,Miðflokkurin,Tal av sætum hjá kvinnum,
2022,Kommunustýri,Miðflokkurin,Tal av sætum,
1984,Kommunustýri,Sambandsflokkurin,Partur av sætum hjá kvinnum,
1984,Kommunustýri,Sambandsflokkurin,Tal av sætum hjá kvinnum,
1984,Kommunustýri,Sambandsflokkurin,Tal av sætum,
1988,Kommunustýri,Sambandsflokkurin,Partur av sætum hjá kvinnum,
1988,Kommunustýri,Sambandsflokkurin,Tal av sætum hjá kvinnum,
1988,Kommunustýri,Sambandsflokkurin,Tal av sætum,
1990,Kommunustýri,Sambandsflokkurin,Partur av sætum hjá kvinnum,
1990,Kommunustýri,Sambandsflokkurin,Tal av sætum hjá kvinnum,
1990,Kommunustýri,Sambandsflokkurin,Tal av sætum,
1992,Kommunustýri,Sambandsflokkurin,Partur av sætum hjá kvinnum,
1992,Kommunustýri,Sambandsflokkurin,Tal av sætum hjá kvinnum,
1992,Kommunustýri,Sambandsflokkurin,Tal av sætum,
1994,Kommunustýri,Sambandsflokkurin,Partur av sætum hjá kvinnum,
1994,Kommunustýri,Sambandsflokkurin,Tal av sætum hjá kvinnum,
1994,Kommunustýri,Sambandsflokkurin,Tal av sætum,
1996,Kommunustýri,Sambandsflokkurin,Partur av sætum hjá kvinnum,
1996,Kommunustýri,Sambandsflokkurin,Tal av sætum hjá kvinnum,
1996,Kommunustýri,Sambandsflokkurin,Tal av sætum,
1998,Kommunustýri,Sambandsflokkurin,Partur av sætum hjá kvinnum,
1998,Kommunustýri,Sambandsflokkurin,Tal av sætum hjá kvinnum,
1998,Kommunustýri,Sambandsflokkurin,Tal av sætum,
2000,Kommunustýri,Sambandsflokkurin,Partur av sætum hjá kvinnum,
2000,Kommunustýri,Sambandsflokkurin,Tal av sætum hjá kvinnum,
2000,Kommunustýri,Sambandsflokkurin,Tal av sætum,
2002,Kommunustýri,Sambandsflokkurin,Partur av sætum hjá kvinnum,
2002,Kommunustýri,Sambandsflokkurin,Tal av sætum hjá kvinnum,
2002,Kommunustýri,Sambandsflokkurin,Tal av sætum,
2004,Kommunustýri,Sambandsflokkurin,Partur av sætum hjá kvinnum,
2004,Kommunustýri,Sambandsflokkurin,Tal av sætum hjá kvinnum,
2004,Kommunustýri,Sambandsflokkurin,Tal av sætum,
2008,Kommunustýri,Sambandsflokkurin,Partur av sætum hjá kvinnum,
2008,Kommunustýri,Sambandsflokkurin,Tal av sætum hjá kvinnum,
2008,Kommunustýri,Sambandsflokkurin,Tal av sætum,
2011,Kommunustýri,Sambandsflokkurin,Partur av sætum hjá kvinnum,
2011,Kommunustýri,Sambandsflokkurin,Tal av sætum hjá kvinnum,
2011,Kommunustýri,Sambandsflokkurin,Tal av sætum,
2012,Kommunustýri,Sambandsflokkurin,Partur av sætum hjá kvinnum,
2012,Kommunustýri,Sambandsflokkurin,Tal av sætum hjá kvinnum,
2012,Kommunustýri,Sambandsflokkurin,Tal av sætum,
2015,Kommunustýri,Sambandsflokkurin,Partur av sætum hjá kvinnum,
2015,Kommunustýri,Sambandsflokkurin,Tal av sætum hjá kvinnum,
2015,Kommunustýri,Sambandsflokkurin,Tal av sætum,
2016,Kommunustýri,Sambandsflokkurin,Partur av sætum hjá kvinnum,
2016,Kommunustýri,Sambandsflokkurin,Tal av sætum hjá kvinnum,
2016,Kommunustýri,Sambandsflokkurin,Tal av sætum,
2019,Kommunustýri,Sambandsflokkurin,Partur av sætum hjá kvinnum,
2019,Kommunustýri,Sambandsflokkurin,Tal av sætum hjá kvinnum,
2019,Kommunustýri,Sambandsflokkurin,Tal av sætum,
2020,Kommunustýri,Sambandsflokkurin,Partur av sætum hjá kvinnum,
2020,Kommunustýri,Sambandsflokkurin,Tal av sætum hjá kvinnum,
2020,Kommunustýri,Sambandsflokkurin,Tal av sætum,
2022,Kommunustýri,Sambandsflokkurin,Partur av sætum hjá kvinnum,
2022,Kommunustýri,Sambandsflokkurin,Tal av sætum hjá kvinnum,
2022,Kommunustýri,Sambandsflokkurin,Tal av sætum,
1984,Kommunustýri,Sjálvstýri,Partur av sætum hjá kvinnum,
1984,Kommunustýri,Sjálvstýri,Tal av sætum hjá kvinnum,
1984,Kommunustýri,Sjálvstýri,Tal av sætum,
1988,Kommunustýri,Sjálvstýri,Partur av sætum hjá kvinnum,
1988,Kommunustýri,Sjálvstýri,Tal av sætum hjá kvinnum,
1988,Kommunustýri,Sjálvstýri,Tal av sætum,
1990,Kommunustýri,Sjálvstýri,Partur av sætum hjá kvinnum,
1990,Kommunustýri,Sjálvstýri,Tal av sætum hjá kvinnum,
1990,Kommunustýri,Sjálvstýri,Tal av sætum,
1992,Kommunustýri,Sjálvstýri,Partur av sætum hjá kvinnum,
1992,Kommunustýri,Sjálvstýri,Tal av sætum hjá kvinnum,
1992,Kommunustýri,Sjálvstýri,Tal av sætum,
1994,Kommunustýri,Sjálvstýri,Partur av sætum hjá kvinnum,
1994,Kommunustýri,Sjálvstýri,Tal av sætum hjá kvinnum,
1994,Kommunustýri,Sjálvstýri,Tal av sætum,
1996,Kommunustýri,Sjálvstýri,Partur av sætum hjá kvinnum,
1996,Kommunustýri,Sjálvstýri,Tal av sætum hjá kvinnum,
1996,Kommunustýri,Sjálvstýri,Tal av sætum,
1998,Kommunustýri,Sjálvstýri,Partur av sætum hjá kvinnum,
1998,Kommunustýri,Sjálvstýri,Tal av sætum hjá kvinnum,
1998,Kommunustýri,Sjálvstýri,Tal av sætum,
2000,Kommunustýri,Sjálvstýri,Partur av sætum hjá kvinnum,
2000,Kommunustýri,Sjálvstýri,Tal av sætum hjá kvinnum,
2000,Kommunustýri,Sjálvstýri,Tal av sætum,
2002,Kommunustýri,Sjálvstýri,Partur av sætum hjá kvinnum,
2002,Kommunustýri,Sjálvstýri,Tal av sætum hjá kvinnum,
2002,Kommunustýri,Sjálvstýri,Tal av sætum,
2004,Kommunustýri,Sjálvstýri,Partur av sætum hjá kvinnum,
2004,Kommunustýri,Sjálvstýri,Tal av sætum hjá kvinnum,
2004,Kommunustýri,Sjálvstýri,Tal av sætum,
2008,Kommunustýri,Sjálvstýri,Partur av sætum hjá kvinnum,
2008,Kommunustýri,Sjálvstýri,Tal av sætum hjá kvinnum,
2008,Kommunustýri,Sjálvstýri,Tal av sætum,
2011,Kommunustýri,Sjálvstýri,Partur av sætum hjá kvinnum,
2011,Kommunustýri,Sjálvstýri,Tal av sætum hjá kvinnum,
2011,Kommunustýri,Sjálvstýri,Tal av sætum,
2012,Kommunustýri,Sjálvstýri,Partur av sætum hjá kvinnum,
2012,Kommunustýri,Sjálvstýri,Tal av sætum hjá kvinnum,
2012,Kommunustýri,Sjálvstýri,Tal av sætum,
2015,Kommunustýri,Sjálvstýri,Partur av sætum hjá kvinnum,
2015,Kommunustýri,Sjálvstýri,Tal av sætum hjá kvinnum,
2015,Kommunustýri,Sjálvstýri,Tal av sætum,
2016,Kommunustýri,Sjálvstýri,Partur av sætum hjá kvinnum,
2016,Kommunustýri,Sjálvstýri,Tal av sætum hjá kvinnum,
2016,Kommunustýri,Sjálvstýri,Tal av sætum,
2019,Kommunustýri,Sjálvstýri,Partur av sætum hjá kvinnum,
2019,Kommunustýri,Sjálvstýri,Tal av sætum hjá kvinnum,
2019,Kommunustýri,Sjálvstýri,Tal av sætum,
2020,Kommunustýri,Sjálvstýri,Partur av sætum hjá kvinnum,
2020,Kommunustýri,Sjálvstýri,Tal av sætum hjá kvinnum,
2020,Kommunustýri,Sjálvstýri,Tal av sætum,
2022,Kommunustýri,Sjálvstýri,Partur av sætum hjá kvinnum,
2022,Kommunustýri,Sjálvstýri,Tal av sætum hjá kvinnum,
2022,Kommunustýri,Sjálvstýri,Tal av sætum,
1984,Kommunustýri,Tjóðveldi,Partur av sætum hjá kvinnum,
1984,Kommunustýri,Tjóðveldi,Tal av sætum hjá kvinnum,
1984,Kommunustýri,Tjóðveldi,Tal av sætum,
1988,Kommunustýri,Tjóðveldi,Partur av sætum hjá kvinnum,
1988,Kommunustýri,Tjóðveldi,Tal av sætum hjá kvinnum,
1988,Kommunustýri,Tjóðveldi,Tal av sætum,
1990,Kommunustýri,Tjóðveldi,Partur av sætum hjá kvinnum,
1990,Kommunustýri,Tjóðveldi,Tal av sætum hjá kvinnum,
1990,Kommunustýri,Tjóðveldi,Tal av sætum,
1992,Kommunustýri,Tjóðveldi,Partur av sætum hjá kvinnum,
1992,Kommunustýri,Tjóðveldi,Tal av sætum hjá kvinnum,
1992,Kommunustýri,Tjóðveldi,Tal av sætum,
1994,Kommunustýri,Tjóðveldi,Partur av sætum hjá kvinnum,
1994,Kommunustýri,Tjóðveldi,Tal av sætum hjá kvinnum,
1994,Kommunustýri,Tjóðveldi,Tal av sætum,
1996,Kommunustýri,Tjóðveldi,Partur av sætum hjá kvinnum,
1996,Kommunustýri,Tjóðveldi,Tal av sætum hjá kvinnum,
1996,Kommunustýri,Tjóðveldi,Tal av sætum,
1998,Kommunustýri,Tjóðveldi,Partur av sætum hjá kvinnum,
1998,Kommunustýri,Tjóðveldi,Tal av sætum hjá kvinnum,
1998,Kommunustýri,Tjóðveldi,Tal av sætum,
2000,Kommunustýri,Tjóðveldi,Partur av sætum hjá kvinnum,
2000,Kommunustýri,Tjóðveldi,Tal av sætum hjá kvinnum,
2000,Kommunustýri,Tjóðveldi,Tal av sætum,
2002,Kommunustýri,Tjóðveldi,Partur av sætum hjá kvinnum,
2002,Kommunustýri,Tjóðveldi,Tal av sætum hjá kvinnum,
2002,Kommunustýri,Tjóðveldi,Tal av sætum,
2004,Kommunustýri,Tjóðveldi,Partur av sætum hjá kvinnum,
2004,Kommunustýri,Tjóðveldi,Tal av sætum hjá kvinnum,
2004,Kommunustýri,Tjóðveldi,Tal av sætum,
2008,Kommunustýri,Tjóðveldi,Partur av sætum hjá kvinnum,
2008,Kommunustýri,Tjóðveldi,Tal av sætum hjá kvinnum,
2008,Kommunustýri,Tjóðveldi,Tal av sætum,
2011,Kommunustýri,Tjóðveldi,Partur av sætum hjá kvinnum,
2011,Kommunustýri,Tjóðveldi,Tal av sætum hjá kvinnum,
2011,Kommunustýri,Tjóðveldi,Tal av sætum,
2012,Kommunustýri,Tjóðveldi,Partur av sætum hjá kvinnum,
2012,Kommunustýri,Tjóðveldi,Tal av sætum hjá kvinnum,
2012,Kommunustýri,Tjóðveldi,Tal av sætum,
2015,Kommunustýri,Tjóðveldi,Partur av sætum hjá kvinnum,
2015,Kommunustýri,Tjóðveldi,Tal av sætum hjá kvinnum,
2015,Kommunustýri,Tjóðveldi,Tal av sætum,
2016,Kommunustýri,Tjóðveldi,Partur av sætum hjá kvinnum,
2016,Kommunustýri,Tjóðveldi,Tal av sætum hjá kvinnum,
2016,Kommunustýri,Tjóðveldi,Tal av sætum,
2019,Kommunustýri,Tjóðveldi,Partur av sætum hjá kvinnum,
2019,Kommunustýri,Tjóðveldi,Tal av sætum hjá kvinnum,
2019,Kommunustýri,Tjóðveldi,Tal av sætum,
2020,Kommunustýri,Tjóðveldi,Partur av sætum hjá kvinnum,
2020,Kommunustýri,Tjóðveldi,Tal av sætum hjá kvinnum,
2020,Kommunustýri,Tjóðveldi,Tal av sætum,
2022,Kommunustýri,Tjóðveldi,Partur av sætum hjá kvinnum,
2022,Kommunustýri,Tjóðveldi,Tal av sætum hjá kvinnum,
2022,Kommunustýri,Tjóðveldi,Tal av sætum,
1984,Kommunustýri,Verkamannafylkingin,Partur av sætum hjá kvinnum,
1984,Kommunustýri,Verkamannafylkingin,Tal av sætum hjá kvinnum,
1984,Kommunustýri,Verkamannafylkingin,Tal av sætum,
1988,Kommunustýri,Verkamannafylkingin,Partur av sætum hjá kvinnum,
1988,Kommunustýri,Verkamannafylkingin,Tal av sætum hjá kvinnum,
1988,Kommunustýri,Verkamannafylkingin,Tal av sætum,
1990,Kommunustýri,Verkamannafylkingin,Partur av sætum hjá kvinnum,
1990,Kommunustýri,Verkamannafylkingin,Tal av sætum hjá kvinnum,
1990,Kommunustýri,Verkamannafylkingin,Tal av sætum,
1992,Kommunustýri,Verkamannafylkingin,Partur av sætum hjá kvinnum,
1992,Kommunustýri,Verkamannafylkingin,Tal av sætum hjá kvinnum,
1992,Kommunustýri,Verkamannafylkingin,Tal av sætum,
1994,Kommunustýri,Verkamannafylkingin,Partur av sætum hjá kvinnum,
1994,Kommunustýri,Verkamannafylkingin,Tal av sætum hjá kvinnum,
1994,Kommunustýri,Verkamannafylkingin,Tal av sætum,
1996,Kommunustýri,Verkamannafylkingin,Partur av sætum hjá kvinnum,
1996,Kommunustýri,Verkamannafylkingin,Tal av sætum hjá kvinnum,
1996,Kommunustýri,Verkamannafylkingin,Tal av sætum,
1998,Kommunustýri,Verkamannafylkingin,Partur av sætum hjá kvinnum,
1998,Kommunustýri,Verkamannafylkingin,Tal av sætum hjá kvinnum,
1998,Kommunustýri,Verkamannafylkingin,Tal av sætum,
2000,Kommunustýri,Verkamannafylkingin,Partur av sætum hjá kvinnum,
2000,Kommunustýri,Verkamannafylkingin,Tal av sætum hjá kvinnum,
2000,Kommunustýri,Verkamannafylkingin,Tal av sætum,
2002,Kommunustýri,Verkamannafylkingin,Partur av sætum hjá kvinnum,
2002,Kommunustýri,Verkamannafylkingin,Tal av sætum hjá kvinnum,
2002,Kommunustýri,Verkamannafylkingin,Tal av sætum,
2004,Kommunustýri,Verkamannafylkingin,Partur av sætum hjá kvinnum,
2004,Kommunustýri,Verkamannafylkingin,Tal av sætum hjá kvinnum,
2004,Kommunustýri,Verkamannafylkingin,Tal av sætum,
2008,Kommunustýri,Verkamannafylkingin,Partur av sætum hjá kvinnum,
2008,Kommunustýri,Verkamannafylkingin,Tal av sætum hjá kvinnum,
2008,Kommunustýri,Verkamannafylkingin,Tal av sætum,
2011,Kommunustýri,Verkamannafylkingin,Partur av sætum hjá kvinnum,
2011,Kommunustýri,Verkamannafylkingin,Tal av sætum hjá kvinnum,
2011,Kommunustýri,Verkamannafylkingin,Tal av sætum,
2012,Kommunustýri,Verkamannafylkingin,Partur av sætum hjá kvinnum,
2012,Kommunustýri,Verkamannafylkingin,Tal av sætum hjá kvinnum,
2012,Kommunustýri,Verkamannafylkingin,Tal av sætum,
2015,Kommunustýri,Verkamannafylkingin,Partur av sætum hjá kvinnum,
2015,Kommunustýri,Verkamannafylkingin,Tal av sætum hjá kvinnum,
2015,Kommunustýri,Verkamannafylkingin,Tal av sætum,
2016,Kommunustýri,Verkamannafylkingin,Partur av sætum hjá kvinnum,
2016,Kommunustýri,Verkamannafylkingin,Tal av sætum hjá kvinnum,
2016,Kommunustýri,Verkamannafylkingin,Tal av sætum,
2019,Kommunustýri,Verkamannafylkingin,Partur av sætum hjá kvinnum,
2019,Kommunustýri,Verkamannafylkingin,Tal av sætum hjá kvinnum,
2019,Kommunustýri,Verkamannafylkingin,Tal av sætum,
2020,Kommunustýri,Verkamannafylkingin,Partur av sætum hjá kvinnum,
2020,Kommunustýri,Verkamannafylkingin,Tal av sætum hjá kvinnum,
2020,Kommunustýri,Verkamannafylkingin,Tal av sætum,
2022,Kommunustýri,Verkamannafylkingin,Partur av sætum hjá kvinnum,
2022,Kommunustýri,Verkamannafylkingin,Tal av sætum hjá kvinnum,
2022,Kommunustýri,Verkamannafylkingin,Tal av sætum,
1984,Kommunustýri,Allar kommunur,Partur av sætum hjá kvinnum,
1984,Kommunustýri,Allar kommunur,Tal av sætum hjá kvinnum,
1984,Kommunustýri,Allar kommunur,Tal av sætum,
1988,Kommunustýri,Allar kommunur,Partur av sætum hjá kvinnum,
1988,Kommunustýri,Allar kommunur,Tal av sætum hjá kvinnum,
1988,Kommunustýri,Allar kommunur,Tal av sætum,
1990,Kommunustýri,Allar kommunur,Partur av sætum hjá kvinnum,
1990,Kommunustýri,Allar kommunur,Tal av sætum hjá kvinnum,
1990,Kommunustýri,Allar kommunur,Tal av sætum,
1992,Kommunustýri,Allar kommunur,Partur av sætum hjá kvinnum,15.3
1992,Kommunustýri,Allar kommunur,Tal av sætum hjá kvinnum,43.0
1992,Kommunustýri,Allar kommunur,Tal av sætum,281.0
1994,Kommunustýri,Allar kommunur,Partur av sætum hjá kvinnum,
1994,Kommunustýri,Allar kommunur,Tal av sætum hjá kvinnum,
1994,Kommunustýri,Allar kommunur,Tal av sætum,
1996,Kommunustýri,Allar kommunur,Partur av sætum hjá kvinnum,15.8
1996,Kommunustýri,Allar kommunur,Tal av sætum hjá kvinnum,44.0
1996,Kommunustýri,Allar kommunur,Tal av sætum,279.0
1998,Kommunustýri,Allar kommunur,Partur av sætum hjá kvinnum,
1998,Kommunustýri,Allar kommunur,Tal av sætum hjá kvinnum,
1998,Kommunustýri,Allar kommunur,Tal av sætum,
2000,Kommunustýri,Allar kommunur,Partur av sætum hjá kvinnum,23.2
2000,Kommunustýri,Allar kommunur,Tal av sætum hjá kvinnum,63.0
2000,Kommunustýri,Allar kommunur,Tal av sætum,272.0
2002,Kommunustýri,Allar kommunur,Partur av sætum hjá kvinnum,
2002,Kommunustýri,Allar kommunur,Tal av sætum hjá kvinnum,
2002,Kommunustýri,Allar kommunur,Tal av sætum,
2004,Kommunustýri,Allar kommunur,Partur av sætum hjá kvinnum,22.7
2004,Kommunustýri,Allar kommunur,Tal av sætum hjá kvinnum,50.0
2004,Kommunustýri,Allar kommunur,Tal av sætum,220.0
2008,Kommunustýri,Allar kommunur,Partur av sætum hjá kvinnum,
2008,Kommunustýri,Allar kommunur,Tal av sætum hjá kvinnum,
2008,Kommunustýri,Allar kommunur,Tal av sætum,
2011,Kommunustýri,Allar kommunur,Partur av sætum hjá kvinnum,
2011,Kommunustýri,Allar kommunur,Tal av sætum hjá kvinnum,
2011,Kommunustýri,Allar kommunur,Tal av sætum,
2012,Kommunustýri,Allar kommunur,Partur av sætum hjá kvinnum,27.8
2012,Kommunustýri,Allar kommunur,Tal av sætum hjá kvinnum,57.0
2012,Kommunustýri,Allar kommunur,Tal av sætum,205.0
2015,Kommunustýri,Allar kommunur,Partur av sætum hjá kvinnum,
2015,Kommunustýri,Allar kommunur,Tal av sætum hjá kvinnum,
2015,Kommunustýri,Allar kommunur,Tal av sætum,
2016,Kommunustýri,Allar kommunur,Partur av sætum hjá kvinnum,33.8
2016,Kommunustýri,Allar kommunur,Tal av sætum hjá kvinnum,68.0
2016,Kommunustýri,Allar kommunur,Tal av sætum,201.0
2019,Kommunustýri,Allar kommunur,Partur av sætum hjá kvinnum,
2019,Kommunustýri,Allar kommunur,Tal av sætum hjá kvinnum,
