Year,Series,source,Units,Main source,Value
2015,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.788962581566
2016,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.787743280707
2017,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,0.949482067611
2018,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,1.045891919731
2019,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,1.088968975166
2020,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,1.1279217339405
2021,Carbon dioxide emissions from fuel combustion, - Fuel combustion,million tonnes,,1.130188369615
1990,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.097196392675
1991,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.093720118275
1992,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.09330379587
1993,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.08649468693
1994,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.08234997124
1995,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.079484259
1996,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.09414801387
1997,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.0881624934
1998,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.09893784747
1999,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.101023648755
2000,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.119628294135
2001,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.16376604616
2002,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.1272060898152
2003,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.133812020875
2004,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.123183701805
2005,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.11261801682
2006,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.12235531907
2007,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.12891307682
2008,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.136896103115
2009,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.131608640235
2010,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.16400114503
2011,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.1333468026
2012,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.148784378609
2013,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.13659414299
2014,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.12454809929
2015,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.102133592949
2016,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.125549164776
2017,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.1243864284385
2018,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.136632088308
2019,Carbon dioxide emissions from fuel combustion, - - Energy industries,million tonnes,,0.175797183088
