Year,Høvuðskelda,Kelda,Value
2016,Nýtsla av brennievni,Flutningsvinna,0.1
2016,Nýtsla av brennievni,Aðrar vinnur,0.5
2016,Bunkring,,0.0
2016,Bunkring,Flogfør,0.0
2016,Bunkring,Skip,0.0
2017,,,1.0
2017,Nýtsla av brennievni,,0.9
2017,Nýtsla av brennievni,El- og hitaframleiðsla,0.1
2017,Nýtsla av brennievni,Framleiðslu- og byggivinna,0.1
2017,Nýtsla av brennievni,Flutningsvinna,0.2
2017,Nýtsla av brennievni,Aðrar vinnur,0.6
2017,Bunkring,,0.1
2017,Bunkring,Flogfør,0.0
2017,Bunkring,Skip,0.1
2018,,,1.1
2018,Nýtsla av brennievni,,1.0
2018,Nýtsla av brennievni,El- og hitaframleiðsla,0.1
2018,Nýtsla av brennievni,Framleiðslu- og byggivinna,0.1
2018,Nýtsla av brennievni,Flutningsvinna,0.2
2018,Nýtsla av brennievni,Aðrar vinnur,0.7
2018,Bunkring,,0.1
2018,Bunkring,Flogfør,0.0
2018,Bunkring,Skip,0.1
2019,,,1.1
2019,Nýtsla av brennievni,,1.1
2019,Nýtsla av brennievni,El- og hitaframleiðsla,0.2
2019,Nýtsla av brennievni,Framleiðslu- og byggivinna,0.1
2019,Nýtsla av brennievni,Flutningsvinna,0.2
2019,Nýtsla av brennievni,Aðrar vinnur,0.7
2019,Bunkring,,0.0
2019,Bunkring,Flogfør,0.0
2019,Bunkring,Skip,0.0
2020,,,1.2
2020,Nýtsla av brennievni,,1.1
2020,Nýtsla av brennievni,El- og hitaframleiðsla,0.2
2020,Nýtsla av brennievni,Framleiðslu- og byggivinna,0.1
2020,Nýtsla av brennievni,Flutningsvinna,0.2
2020,Nýtsla av brennievni,Aðrar vinnur,0.7
2020,Bunkring,,0.1
2020,Bunkring,Flogfør,0.0
2020,Bunkring,Skip,0.1
