Year,countrygroup,Units,Series,Value
1993,Least developed countries,DKK mill.,Faroese merchandise import,0.0
1993,Least developed countries,DKK mill.,Faroese merchandise export,0.0
1993,Least developed countries,Per cent of total trade,Faroese merchandise import,0.0
1993,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
1994,Least developed countries,DKK mill.,Faroese merchandise import,0.0
1994,Least developed countries,DKK mill.,Faroese merchandise export,0.0
1994,Least developed countries,Per cent of total trade,Faroese merchandise import,0.0
1994,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
1995,Least developed countries,DKK mill.,Faroese merchandise import,0.0
1995,Least developed countries,DKK mill.,Faroese merchandise export,0.0
1995,Least developed countries,Per cent of total trade,Faroese merchandise import,0.0
1995,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
1996,Least developed countries,DKK mill.,Faroese merchandise import,0.0008
1996,Least developed countries,DKK mill.,Faroese merchandise export,0.0
1996,Least developed countries,Per cent of total trade,Faroese merchandise import,3.7207632309e-05
1996,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
1997,Least developed countries,DKK mill.,Faroese merchandise import,0.0101
1997,Least developed countries,DKK mill.,Faroese merchandise export,0.0
1997,Least developed countries,Per cent of total trade,Faroese merchandise import,0.000426187958848
1997,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
1998,Least developed countries,DKK mill.,Faroese merchandise import,0.0
1998,Least developed countries,DKK mill.,Faroese merchandise export,0.0
1998,Least developed countries,Per cent of total trade,Faroese merchandise import,0.0
1998,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
1999,Least developed countries,DKK mill.,Faroese merchandise import,0.0
1999,Least developed countries,DKK mill.,Faroese merchandise export,0.0
1999,Least developed countries,Per cent of total trade,Faroese merchandise import,0.0
1999,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
2000,Least developed countries,DKK mill.,Faroese merchandise import,0.0021
2000,Least developed countries,DKK mill.,Faroese merchandise export,0.0
2000,Least developed countries,Per cent of total trade,Faroese merchandise import,4.8728012094e-05
2000,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
2001,Least developed countries,DKK mill.,Faroese merchandise import,0.0
2001,Least developed countries,DKK mill.,Faroese merchandise export,0.0
2001,Least developed countries,Per cent of total trade,Faroese merchandise import,0.0
2001,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
2002,Least developed countries,DKK mill.,Faroese merchandise import,0.0011
2002,Least developed countries,DKK mill.,Faroese merchandise export,0.0
2002,Least developed countries,Per cent of total trade,Faroese merchandise import,2.7962221818e-05
2002,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
2003,Least developed countries,DKK mill.,Faroese merchandise import,0.0096
2003,Least developed countries,DKK mill.,Faroese merchandise export,0.0
2003,Least developed countries,Per cent of total trade,Faroese merchandise import,0.000197302529147
2003,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
2004,Least developed countries,DKK mill.,Faroese merchandise import,0.0002
2004,Least developed countries,DKK mill.,Faroese merchandise export,0.0
2004,Least developed countries,Per cent of total trade,Faroese merchandise import,5.315112419e-06
2004,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
2005,Least developed countries,DKK mill.,Faroese merchandise import,0.0
2005,Least developed countries,DKK mill.,Faroese merchandise export,0.0
2005,Least developed countries,Per cent of total trade,Faroese merchandise import,0.0
2005,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
2006,Least developed countries,DKK mill.,Faroese merchandise import,0.0
2006,Least developed countries,DKK mill.,Faroese merchandise export,0.0
2006,Least developed countries,Per cent of total trade,Faroese merchandise import,0.0
2006,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
2007,Least developed countries,DKK mill.,Faroese merchandise import,0.0
2007,Least developed countries,DKK mill.,Faroese merchandise export,0.0
2007,Least developed countries,Per cent of total trade,Faroese merchandise import,0.0
2007,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
2008,Least developed countries,DKK mill.,Faroese merchandise import,0.008
2008,Least developed countries,DKK mill.,Faroese merchandise export,0.0
2008,Least developed countries,Per cent of total trade,Faroese merchandise import,0.000159333365134
2008,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
2009,Least developed countries,DKK mill.,Faroese merchandise import,0.053
2009,Least developed countries,DKK mill.,Faroese merchandise export,0.0
2009,Least developed countries,Per cent of total trade,Faroese merchandise import,0.001258651567154
2009,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
2010,Least developed countries,DKK mill.,Faroese merchandise import,0.05
2010,Least developed countries,DKK mill.,Faroese merchandise export,0.0
2010,Least developed countries,Per cent of total trade,Faroese merchandise import,0.001144193272917
2010,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
2011,Least developed countries,DKK mill.,Faroese merchandise import,0.0562
2011,Least developed countries,DKK mill.,Faroese merchandise export,0.0
2011,Least developed countries,Per cent of total trade,Faroese merchandise import,0.001064623478668
2011,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
2012,Least developed countries,DKK mill.,Faroese merchandise import,0.0562
2012,Least developed countries,DKK mill.,Faroese merchandise export,0.0
2012,Least developed countries,Per cent of total trade,Faroese merchandise import,0.00084094627884
2012,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
2013,Least developed countries,DKK mill.,Faroese merchandise import,0.0358
2013,Least developed countries,DKK mill.,Faroese merchandise export,0.0
2013,Least developed countries,Per cent of total trade,Faroese merchandise import,0.000570690672488
2013,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
2014,Least developed countries,DKK mill.,Faroese merchandise import,0.1117
2014,Least developed countries,DKK mill.,Faroese merchandise export,0.0
2014,Least developed countries,Per cent of total trade,Faroese merchandise import,0.001855584956047
2014,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
2015,Least developed countries,DKK mill.,Faroese merchandise import,0.0474
2015,Least developed countries,DKK mill.,Faroese merchandise export,0.0
2015,Least developed countries,Per cent of total trade,Faroese merchandise import,0.000773940527667
2015,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
2016,Least developed countries,DKK mill.,Faroese merchandise import,0.0918
2016,Least developed countries,DKK mill.,Faroese merchandise export,0.0
2016,Least developed countries,Per cent of total trade,Faroese merchandise import,0.001391313583713
2016,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
2017,Least developed countries,DKK mill.,Faroese merchandise import,0.0422
2017,Least developed countries,DKK mill.,Faroese merchandise export,0.0
2017,Least developed countries,Per cent of total trade,Faroese merchandise import,0.000581225715233
2017,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
2018,Least developed countries,DKK mill.,Faroese merchandise import,0.0552
2018,Least developed countries,DKK mill.,Faroese merchandise export,0.0
2018,Least developed countries,Per cent of total trade,Faroese merchandise import,0.000712555397794
2018,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
2019,Least developed countries,DKK mill.,Faroese merchandise import,0.0006
2019,Least developed countries,DKK mill.,Faroese merchandise export,0.0
2019,Least developed countries,Per cent of total trade,Faroese merchandise import,7.328218139e-06
2019,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
2020,Least developed countries,DKK mill.,Faroese merchandise import,0.0
2020,Least developed countries,DKK mill.,Faroese merchandise export,0.0
2020,Least developed countries,Per cent of total trade,Faroese merchandise import,0.0
2020,Least developed countries,Per cent of total trade,Faroese merchandise export,0.0
2021,Least developed countries,DKK mill.,Faroese merchandise import,0.0
2021,Least developed countries,DKK mill.,Faroese merchandise export,0.0
2021,Least developed countries,Per cent of total trade,Faroese merchandise import,0.0
