Year,Series,region,sex,age,Units,GeoCode,Value
2019,SI_POV_NAHC,,F,Y18-24,PCT,TOTAL,2.3
2020,SI_POV_NAHC,,F,Y18-24,PCT,TOTAL,1.7
2021,SI_POV_NAHC,,F,Y18-24,PCT,TOTAL,2.6
2022,SI_POV_NAHC,,F,Y18-24,PCT,TOTAL,1.8
2009,SI_POV_NAHC,,F,Y25-54,PCT,TOTAL,3.2
2010,SI_POV_NAHC,,F,Y25-54,PCT,TOTAL,3.7
2011,SI_POV_NAHC,,F,Y25-54,PCT,TOTAL,3.9
2012,SI_POV_NAHC,,F,Y25-54,PCT,TOTAL,4.0
2013,SI_POV_NAHC,,F,Y25-54,PCT,TOTAL,3.0
2014,SI_POV_NAHC,,F,Y25-54,PCT,TOTAL,2.7
2015,SI_POV_NAHC,,F,Y25-54,PCT,TOTAL,3.0
2016,SI_POV_NAHC,,F,Y25-54,PCT,TOTAL,2.8
2017,SI_POV_NAHC,,F,Y25-54,PCT,TOTAL,2.8
2018,SI_POV_NAHC,,F,Y25-54,PCT,TOTAL,2.6
2019,SI_POV_NAHC,,F,Y25-54,PCT,TOTAL,2.3
2020,SI_POV_NAHC,,F,Y25-54,PCT,TOTAL,2.0
2021,SI_POV_NAHC,,F,Y25-54,PCT,TOTAL,2.7
2022,SI_POV_NAHC,,F,Y25-54,PCT,TOTAL,2.6
2009,SI_POV_NAHC,,F,Y55-66,PCT,TOTAL,4.7
2010,SI_POV_NAHC,,F,Y55-66,PCT,TOTAL,4.4
2011,SI_POV_NAHC,,F,Y55-66,PCT,TOTAL,4.4
2012,SI_POV_NAHC,,F,Y55-66,PCT,TOTAL,4.5
2013,SI_POV_NAHC,,F,Y55-66,PCT,TOTAL,3.9
2014,SI_POV_NAHC,,F,Y55-66,PCT,TOTAL,3.6
2015,SI_POV_NAHC,,F,Y55-66,PCT,TOTAL,3.4
2016,SI_POV_NAHC,,F,Y55-66,PCT,TOTAL,3.3
2017,SI_POV_NAHC,,F,Y55-66,PCT,TOTAL,3.1
2018,SI_POV_NAHC,,F,Y55-66,PCT,TOTAL,2.6
2019,SI_POV_NAHC,,F,Y55-66,PCT,TOTAL,2.5
2020,SI_POV_NAHC,,F,Y55-66,PCT,TOTAL,2.3
2021,SI_POV_NAHC,,F,Y55-66,PCT,TOTAL,2.7
2022,SI_POV_NAHC,,F,Y55-66,PCT,TOTAL,2.4
2009,SI_POV_NAHC,,F,Y_GE67,PCT,TOTAL,3.6
2010,SI_POV_NAHC,,F,Y_GE67,PCT,TOTAL,3.5
2011,SI_POV_NAHC,,F,Y_GE67,PCT,TOTAL,3.2
2012,SI_POV_NAHC,,F,Y_GE67,PCT,TOTAL,3.1
2013,SI_POV_NAHC,,F,Y_GE67,PCT,TOTAL,2.1
2014,SI_POV_NAHC,,F,Y_GE67,PCT,TOTAL,2.0
2015,SI_POV_NAHC,,F,Y_GE67,PCT,TOTAL,2.0
2016,SI_POV_NAHC,,F,Y_GE67,PCT,TOTAL,1.9
2017,SI_POV_NAHC,,F,Y_GE67,PCT,TOTAL,2.2
2018,SI_POV_NAHC,,F,Y_GE67,PCT,TOTAL,2.1
2019,SI_POV_NAHC,,F,Y_GE67,PCT,TOTAL,1.2
2020,SI_POV_NAHC,,F,Y_GE67,PCT,TOTAL,1.1
2021,SI_POV_NAHC,,F,Y_GE67,PCT,TOTAL,0.8
2022,SI_POV_NAHC,,F,Y_GE67,PCT,TOTAL,0.7
2009,SI_POV_NAHC,4200,,,PCT,4200,3.5
2010,SI_POV_NAHC,4200,,,PCT,4200,3.9
2011,SI_POV_NAHC,4200,,,PCT,4200,3.1
2012,SI_POV_NAHC,4200,,,PCT,4200,3.6
2013,SI_POV_NAHC,4200,,,PCT,4200,3.1
2014,SI_POV_NAHC,4200,,,PCT,4200,2.6
2015,SI_POV_NAHC,4200,,,PCT,4200,2.7
2016,SI_POV_NAHC,4200,,,PCT,4200,2.5
2017,SI_POV_NAHC,4200,,,PCT,4200,2.7
2018,SI_POV_NAHC,4200,,,PCT,4200,2.6
2019,SI_POV_NAHC,4200,,,PCT,4200,2.1
2020,SI_POV_NAHC,4200,,,PCT,4200,2.0
2021,SI_POV_NAHC,4200,,,PCT,4200,2.1
2022,SI_POV_NAHC,4200,,,PCT,4200,1.8
2009,SI_POV_NAHC,4200,,Y0-17,PCT,4200,3.6
2010,SI_POV_NAHC,4200,,Y0-17,PCT,4200,4.7
2011,SI_POV_NAHC,4200,,Y0-17,PCT,4200,3.5
2012,SI_POV_NAHC,4200,,Y0-17,PCT,4200,4.9
2013,SI_POV_NAHC,4200,,Y0-17,PCT,4200,4.6
2014,SI_POV_NAHC,4200,,Y0-17,PCT,4200,3.7
2015,SI_POV_NAHC,4200,,Y0-17,PCT,4200,3.8
2016,SI_POV_NAHC,4200,,Y0-17,PCT,4200,3.8
2017,SI_POV_NAHC,4200,,Y0-17,PCT,4200,4.1
2018,SI_POV_NAHC,4200,,Y0-17,PCT,4200,3.5
2019,SI_POV_NAHC,4200,,Y0-17,PCT,4200,3.2
2020,SI_POV_NAHC,4200,,Y0-17,PCT,4200,3.1
2021,SI_POV_NAHC,4200,,Y0-17,PCT,4200,2.5
2022,SI_POV_NAHC,4200,,Y0-17,PCT,4200,2.4
2009,SI_POV_NAHC,4200,,Y18-24,PCT,4200,3.6
2010,SI_POV_NAHC,4200,,Y18-24,PCT,4200,4.4
2011,SI_POV_NAHC,4200,,Y18-24,PCT,4200,3.2
2012,SI_POV_NAHC,4200,,Y18-24,PCT,4200,3.0
2013,SI_POV_NAHC,4200,,Y18-24,PCT,4200,3.0
2014,SI_POV_NAHC,4200,,Y18-24,PCT,4200,2.3
2015,SI_POV_NAHC,4200,,Y18-24,PCT,4200,3.6
2016,SI_POV_NAHC,4200,,Y18-24,PCT,4200,2.8
2017,SI_POV_NAHC,4200,,Y18-24,PCT,4200,1.8
2018,SI_POV_NAHC,4200,,Y18-24,PCT,4200,3.1
2019,SI_POV_NAHC,4200,,Y18-24,PCT,4200,2.5
2020,SI_POV_NAHC,4200,,Y18-24,PCT,4200,1.4
2021,SI_POV_NAHC,4200,,Y18-24,PCT,4200,2.6
2022,SI_POV_NAHC,4200,,Y18-24,PCT,4200,0.8
2009,SI_POV_NAHC,4200,,Y25-54,PCT,4200,2.8
2010,SI_POV_NAHC,4200,,Y25-54,PCT,4200,3.4
2011,SI_POV_NAHC,4200,,Y25-54,PCT,4200,2.8
2012,SI_POV_NAHC,4200,,Y25-54,PCT,4200,3.6
2013,SI_POV_NAHC,4200,,Y25-54,PCT,4200,2.9
2014,SI_POV_NAHC,4200,,Y25-54,PCT,4200,2.2
2015,SI_POV_NAHC,4200,,Y25-54,PCT,4200,2.4
2016,SI_POV_NAHC,4200,,Y25-54,PCT,4200,2.3
2017,SI_POV_NAHC,4200,,Y25-54,PCT,4200,2.5
2018,SI_POV_NAHC,4200,,Y25-54,PCT,4200,2.4
2019,SI_POV_NAHC,4200,,Y25-54,PCT,4200,1.8
2020,SI_POV_NAHC,4200,,Y25-54,PCT,4200,1.9
2021,SI_POV_NAHC,4200,,Y25-54,PCT,4200,2.3
2022,SI_POV_NAHC,4200,,Y25-54,PCT,4200,2.1
2009,SI_POV_NAHC,4200,,Y55-66,PCT,4200,4.1
2010,SI_POV_NAHC,4200,,Y55-66,PCT,4200,3.3
2011,SI_POV_NAHC,4200,,Y55-66,PCT,4200,3.3
2012,SI_POV_NAHC,4200,,Y55-66,PCT,4200,3.0
2013,SI_POV_NAHC,4200,,Y55-66,PCT,4200,2.6
2014,SI_POV_NAHC,4200,,Y55-66,PCT,4200,2.1
2015,SI_POV_NAHC,4200,,Y55-66,PCT,4200,1.7
2016,SI_POV_NAHC,4200,,Y55-66,PCT,4200,1.9
2017,SI_POV_NAHC,4200,,Y55-66,PCT,4200,1.6
2018,SI_POV_NAHC,4200,,Y55-66,PCT,4200,1.7
2019,SI_POV_NAHC,4200,,Y55-66,PCT,4200,1.3
2020,SI_POV_NAHC,4200,,Y55-66,PCT,4200,1.6
2021,SI_POV_NAHC,4200,,Y55-66,PCT,4200,1.7
2022,SI_POV_NAHC,4200,,Y55-66,PCT,4200,1.4
2009,SI_POV_NAHC,4200,,Y_GE67,PCT,4200,4.6
2010,SI_POV_NAHC,4200,,Y_GE67,PCT,4200,4.0
2011,SI_POV_NAHC,4200,,Y_GE67,PCT,4200,2.6
2012,SI_POV_NAHC,4200,,Y_GE67,PCT,4200,2.2
2013,SI_POV_NAHC,4200,,Y_GE67,PCT,4200,1.6
2014,SI_POV_NAHC,4200,,Y_GE67,PCT,4200,2.2
2015,SI_POV_NAHC,4200,,Y_GE67,PCT,4200,2.0
2016,SI_POV_NAHC,4200,,Y_GE67,PCT,4200,1.0
2017,SI_POV_NAHC,4200,,Y_GE67,PCT,4200,2.2
2018,SI_POV_NAHC,4200,,Y_GE67,PCT,4200,2.4
2019,SI_POV_NAHC,4200,,Y_GE67,PCT,4200,1.2
2020,SI_POV_NAHC,4200,,Y_GE67,PCT,4200,1.1
2021,SI_POV_NAHC,4200,,Y_GE67,PCT,4200,0.8
2022,SI_POV_NAHC,4200,,Y_GE67,PCT,4200,0.6
2009,SI_POV_NAHC,4200,M,,PCT,4200,3.5
2010,SI_POV_NAHC,4200,M,,PCT,4200,4.0
2011,SI_POV_NAHC,4200,M,,PCT,4200,3.3
2012,SI_POV_NAHC,4200,M,,PCT,4200,3.5
2013,SI_POV_NAHC,4200,M,,PCT,4200,3.3
2014,SI_POV_NAHC,4200,M,,PCT,4200,2.9
2015,SI_POV_NAHC,4200,M,,PCT,4200,3.2
2016,SI_POV_NAHC,4200,M,,PCT,4200,2.8
2017,SI_POV_NAHC,4200,M,,PCT,4200,3.1
2018,SI_POV_NAHC,4200,M,,PCT,4200,3.0
2019,SI_POV_NAHC,4200,M,,PCT,4200,2.4
2020,SI_POV_NAHC,4200,M,,PCT,4200,2.1
