Year,Units,material type,Value
2014,data.domesticmaterialconsumptionperunitofgdp,data.fossilenergyandotherproducts,15.3
2015,data.domesticmaterialconsumption,data.total,1132.6
2015,data.domesticmaterialconsumption,data.biomass,404.2
2015,data.domesticmaterialconsumption,data.metallicminerals,2.0
2015,data.domesticmaterialconsumption,data.non-metallicminerals,463.2
2015,data.domesticmaterialconsumption,data.fossilenergyandotherproducts,263.2
2015,data.domesticmaterialconsumptionpercapita,data.total,23.2
2015,data.domesticmaterialconsumptionpercapita,data.biomass,8.3
2015,data.domesticmaterialconsumptionpercapita,data.metallicminerals,0.0
2015,data.domesticmaterialconsumptionpercapita,data.non-metallicminerals,9.5
2015,data.domesticmaterialconsumptionpercapita,data.fossilenergyandotherproducts,5.4
2015,data.domesticmaterialconsumptionperunitofgdp,data.total,65.7
2015,data.domesticmaterialconsumptionperunitofgdp,data.biomass,23.5
2015,data.domesticmaterialconsumptionperunitofgdp,data.metallicminerals,0.1
2015,data.domesticmaterialconsumptionperunitofgdp,data.non-metallicminerals,26.9
2015,data.domesticmaterialconsumptionperunitofgdp,data.fossilenergyandotherproducts,15.3
2016,data.domesticmaterialconsumption,data.total,1251.4
2016,data.domesticmaterialconsumption,data.biomass,304.9
2016,data.domesticmaterialconsumption,data.metallicminerals,18.7
2016,data.domesticmaterialconsumption,data.non-metallicminerals,675.1
2016,data.domesticmaterialconsumption,data.fossilenergyandotherproducts,252.8
2016,data.domesticmaterialconsumptionpercapita,data.total,25.3
2016,data.domesticmaterialconsumptionpercapita,data.biomass,6.2
2016,data.domesticmaterialconsumptionpercapita,data.metallicminerals,0.4
2016,data.domesticmaterialconsumptionpercapita,data.non-metallicminerals,13.7
2016,data.domesticmaterialconsumptionpercapita,data.fossilenergyandotherproducts,5.1
2016,data.domesticmaterialconsumptionperunitofgdp,data.total,66.3
2016,data.domesticmaterialconsumptionperunitofgdp,data.biomass,16.1
2016,data.domesticmaterialconsumptionperunitofgdp,data.metallicminerals,1.0
2016,data.domesticmaterialconsumptionperunitofgdp,data.non-metallicminerals,35.8
2016,data.domesticmaterialconsumptionperunitofgdp,data.fossilenergyandotherproducts,13.4
2017,data.domesticmaterialconsumption,data.total,1524.7
2017,data.domesticmaterialconsumption,data.biomass,442.7
2017,data.domesticmaterialconsumption,data.metallicminerals,46.6
2017,data.domesticmaterialconsumption,data.non-metallicminerals,757.4
2017,data.domesticmaterialconsumption,data.fossilenergyandotherproducts,278.0
2017,data.domesticmaterialconsumptionpercapita,data.total,30.4
2017,data.domesticmaterialconsumptionpercapita,data.biomass,8.8
2017,data.domesticmaterialconsumptionpercapita,data.metallicminerals,0.9
2017,data.domesticmaterialconsumptionpercapita,data.non-metallicminerals,15.1
2017,data.domesticmaterialconsumptionpercapita,data.fossilenergyandotherproducts,5.5
2017,data.domesticmaterialconsumptionperunitofgdp,data.total,77.8
2017,data.domesticmaterialconsumptionperunitofgdp,data.biomass,22.6
2017,data.domesticmaterialconsumptionperunitofgdp,data.metallicminerals,2.4
2017,data.domesticmaterialconsumptionperunitofgdp,data.non-metallicminerals,38.6
2017,data.domesticmaterialconsumptionperunitofgdp,data.fossilenergyandotherproducts,14.2
2018,data.domesticmaterialconsumption,data.total,1520.7
2018,data.domesticmaterialconsumption,data.biomass,409.0
2018,data.domesticmaterialconsumption,data.metallicminerals,47.3
2018,data.domesticmaterialconsumption,data.non-metallicminerals,764.8
2018,data.domesticmaterialconsumption,data.fossilenergyandotherproducts,299.7
2018,data.domesticmaterialconsumptionpercapita,data.total,29.9
2018,data.domesticmaterialconsumptionpercapita,data.biomass,8.0
2018,data.domesticmaterialconsumptionpercapita,data.metallicminerals,0.9
2018,data.domesticmaterialconsumptionpercapita,data.non-metallicminerals,15.0
2018,data.domesticmaterialconsumptionpercapita,data.fossilenergyandotherproducts,5.9
2018,data.domesticmaterialconsumptionperunitofgdp,data.total,75.7
