Year,sex,age,Series,Units,data.sex,data.age,Value
2021,,,,,data.male,data.25-54years,2.0
2021,,,,,data.male,data.55-74years,1.0
2021,,,,,data.female,,1.6
2021,,,,,data.female,data.15-24years,5.2
2021,,,,,data.female,data.25-54years,0.7
2021,,,,,data.female,data.55-74years,0.8
2022,,,,,,,2.0
2022,,,,,,data.15-24years,6.3
2022,,,,,,data.25-54years,1.2
2022,,,,,,data.55-74years,1.5
2022,,,,,data.male,,2.3
2022,,,,,data.male,data.15-24years,6.8
2022,,,,,data.male,data.25-54years,1.4
2022,,,,,data.male,data.55-74years,1.6
2022,,,,,data.female,,1.6
2022,,,,,data.female,data.15-24years,5.7
2022,,,,,data.female,data.25-54years,0.9
2022,,,,,data.female,data.55-74years,0.4
