Year,Units,sex,Series,Value
2014,NO,,SH_DTH_NCOM,251.904771737111
2014,NO,,I00-I99,74.3325555945572
2014,NO,,COO-C97,148.665111189114
2014,NO,,E10-E14,0.0
2014,NO,,J30-J98,28.9071049534389
2014,NO,M,SH_DTH_NCOM,323.662916913361
2014,NO,M,I00-I99,110.519044799684
2014,NO,M,COO-C97,173.672784685218
2014,NO,M,E10-E14,0.0
2014,NO,M,J30-J98,39.4710874284587
2014,NO,F,SH_DTH_NCOM,173.190162798753
2014,NO,F,I00-I99,34.6380325597506
2014,NO,F,COO-C97,121.233113959127
2014,NO,F,E10-E14,0.0
2014,NO,F,J30-J98,17.3190162798753
2015,NO,,SH_DTH_NCOM,221.843353942855
2015,NO,,I00-I99,57.5149436148142
2015,NO,,COO-C97,135.570938520633
2015,NO,,E10-E14,0.0
2015,NO,,J30-J98,28.7574718074071
2015,NO,M,SH_DTH_NCOM,282.496959234119
2015,NO,M,I00-I99,102.012790834543
2015,NO,M,COO-C97,149.095617373563
2015,NO,M,E10-E14,0.0
2015,NO,M,J30-J98,31.3885510260133
2015,NO,F,SH_DTH_NCOM,155.199172271081
2015,NO,F,I00-I99,8.6221762372823
2015,NO,F,COO-C97,120.710467321952
2015,NO,F,E10-E14,0.0
2015,NO,F,J30-J98,25.8665287118469
2016,NO,,SH_DTH_NCOM,248.553500122239
2016,NO,,I00-I99,65.1943606878005
2016,NO,,COO-C97,158.911254176514
2016,NO,,E10-E14,16.2985901719501
2016,NO,,J30-J98,8.1492950859751
2016,NO,M,SH_DTH_NCOM,288.566526282951
2016,NO,M,I00-I99,85.7900483543909
2016,NO,M,COO-C97,171.580096708782
2016,NO,M,E10-E14,23.3972859148339
2016,NO,M,J30-J98,7.7990953049446
2016,NO,F,SH_DTH_NCOM,204.778156996587
2016,NO,F,I00-I99,42.6621160409556
2016,NO,F,COO-C97,145.051194539249
2016,NO,F,E10-E14,8.5324232081911
2016,NO,F,J30-J98,8.5324232081911
2017,NO,,SH_DTH_NCOM,294.515159461804
2017,NO,,I00-I99,84.7235390232586
2017,NO,,COO-C97,193.653803481734
2017,NO,,E10-E14,0.0
2017,NO,,J30-J98,16.1378169568112
2017,NO,M,SH_DTH_NCOM,363.481690576544
2017,NO,M,I00-I99,139.205753837825
2017,NO,M,COO-C97,208.808630756738
2017,NO,M,E10-E14,0.0
2017,NO,M,J30-J98,15.4673059819806
2017,NO,F,SH_DTH_NCOM,219.298245614035
2017,NO,F,I00-I99,25.3036437246964
2017,NO,F,COO-C97,177.125506072874
2017,NO,F,E10-E14,0.0
2017,NO,F,J30-J98,16.8690958164642
2018,NO,,SH_DTH_NCOM,238.986696407233
2018,NO,,I00-I99,51.7804508882339
2018,NO,,COO-C97,163.307575878276
2018,NO,,E10-E14,0.0
2018,NO,,J30-J98,23.8986696407233
2018,NO,M,SH_DTH_NCOM,320.15855471281
2018,NO,M,I00-I99,76.2282273125739
2018,NO,M,COO-C97,205.816213743949
2018,NO,M,E10-E14,0.0
2018,NO,M,J30-J98,38.1141136562869
2018,NO,F,SH_DTH_NCOM,150.156412930136
2018,NO,F,I00-I99,25.0260688216893
2018,NO,F,COO-C97,116.788321167883
2018,NO,F,E10-E14,0.0
2018,NO,F,J30-J98,8.3420229405631
2019,NO,,SH_DTH_NCOM,191.987462043295
2019,NO,,I00-I99,54.8535605837986
2019,NO,,COO-C97,125.379567048683
2019,NO,,E10-E14,0.0
2019,NO,,J30-J98,11.754334410814
2019,NO,M,SH_DTH_NCOM,231.801697386623
2019,NO,M,I00-I99,74.774741092459
2019,NO,M,COO-C97,149.549482184918
2019,NO,M,E10-E14,0.0
2019,NO,M,J30-J98,7.4774741092459
2019,NO,F,SH_DTH_NCOM,148.160342415014
2019,NO,F,I00-I99,32.9245205366697
2019,NO,F,COO-C97,98.773561610009
2019,NO,F,E10-E14,0.0
2019,NO,F,J30-J98,16.4622602683348
2020,NO,,SH_DTH_NCOM,127.334465195246
2020,NO,,I00-I99,23.1517209445902
2020,NO,,COO-C97,88.7482636209292
2020,NO,,E10-E14,0.0
2020,NO,,J30-J98,15.4344806297268
2020,NO,M,SH_DTH_NCOM,161.687428802411
2020,NO,M,I00-I99,36.7471429096388
2020,NO,M,COO-C97,117.590857310844
2020,NO,M,E10-E14,0.0
2020,NO,M,J30-J98,7.3494285819278
2020,NO,F,SH_DTH_NCOM,89.3618749746131
2020,NO,F,I00-I99,8.1238068158739
2020,NO,F,COO-C97,56.8666477111174
2020,NO,F,E10-E14,0.0
2020,NO,F,J30-J98,24.3714204476218
2021,NO,,SH_DTH_NCOM,176.339799125968
2021,NO,,I00-I99,53.6686345165989
2021,NO,,COO-C97,107.337269033198
2021,NO,,E10-E14,0.0
2021,NO,,J30-J98,15.3338955761711
2021,NO,M,SH_DTH_NCOM,218.882241354151
2021,NO,M,I00-I99,65.6646724062455
2021,NO,M,COO-C97,131.329344812491
2021,NO,M,E10-E14,0.0
2021,NO,M,J30-J98,21.8882241354152
2021,NO,F,SH_DTH_NCOM,129.24071082391
2021,NO,F,I00-I99,40.3877221324717
2021,NO,F,COO-C97,80.7754442649435
2021,NO,F,E10-E14,0.0
2021,NO,F,J30-J98,8.0775444264944
