Year,Series,unit,Value
2000,FP_CPI_TOTL_ZG,PCT,4.9
2001,FP_CPI_TOTL_ZG,PCT,2.7
2002,FP_CPI_TOTL_ZG,PCT,0.5
2003,FP_CPI_TOTL_ZG,PCT,1.2
2004,FP_CPI_TOTL_ZG,PCT,0.6
2005,FP_CPI_TOTL_ZG,PCT,2.0
2006,FP_CPI_TOTL_ZG,PCT,1.5
2007,FP_CPI_TOTL_ZG,PCT,3.6
2008,FP_CPI_TOTL_ZG,PCT,6.3
2009,FP_CPI_TOTL_ZG,PCT,-1.1
2010,FP_CPI_TOTL_ZG,PCT,0.4
2011,FP_CPI_TOTL_ZG,PCT,2.3
2012,FP_CPI_TOTL_ZG,PCT,2.1
2013,FP_CPI_TOTL_ZG,PCT,-0.6
2014,FP_CPI_TOTL_ZG,PCT,-1.0
2015,FP_CPI_TOTL_ZG,PCT,-1.7
2016,FP_CPI_TOTL_ZG,PCT,-0.3
2017,FP_CPI_TOTL_ZG,PCT,1.1
2018,FP_CPI_TOTL_ZG,PCT,1.2
2019,FP_CPI_TOTL_ZG,PCT,1.3
2020,FP_CPI_TOTL_ZG,PCT,0.3
2021,FP_CPI_TOTL_ZG,PCT,2.7
2022,FP_CPI_TOTL_ZG,PCT,7.7
2005,SL_TLF_UEM,PCT,3.5
2006,SL_TLF_UEM,PCT,1.8
2007,SL_TLF_UEM,PCT,1.7
2008,SL_TLF_UEM,PCT,2.4
2009,SL_TLF_UEM,PCT,3.9
2010,SL_TLF_UEM,PCT,6.4
2011,SL_TLF_UEM,PCT,5.3
2012,SL_TLF_UEM,PCT,3.0
2013,SL_TLF_UEM,PCT,4.0
2014,SL_TLF_UEM,PCT,3.2
2015,SL_TLF_UEM,PCT,3.3
2016,SL_TLF_UEM,PCT,3.5
2017,SL_TLF_UEM,PCT,2.5
2018,SL_TLF_UEM,PCT,1.8
2019,SL_TLF_UEM,PCT,1.3
2020,SL_TLF_UEM,PCT,1.7
2021,SL_TLF_UEM,PCT,2.1
2022,SL_TLF_UEM,PCT,2.0
