Year,slag av tilfari,Units,Series,Slag av tilfari,Value
2003,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla,,1224.6534
2003,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,25.5687451066362
2003,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,123.773627239926
2003,Biomassi,1.000 tons,Innlendis tilfarsnýtsla,,565.8363
2003,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,11.8137296044596
2003,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,57.1881083047816
2003,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla,,5.0811
2003,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,0.106084995772134
2003,Metalmálmur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,0.513538097692611
2003,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla,,424.2379
2003,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,8.85738832691324
2003,Ikki-metalhavin steinsløg,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,42.8769998888249
2003,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla,,222.7829
2003,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,4.6513398682576
2003,Lívrunnin brennievni og aðrar framleiðslur,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,22.5162871552308
2004,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla,,1180.2787
2004,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,24.4761921549516
2004,Tilsamans,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,114.221993187009
2004,Biomassi,1.000 tons,Innlendis tilfarsnýtsla,,536.0685
2004,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvønn íbúgva,,11.1167943759526
2004,Biomassi,1.000 tons,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,,51.8782661711764
