Year,landabólkur,Units,Series,Value
2002,Menningarlond uttan Kina,% av samlaða handlinum,Vøruútflutningur,0.977732741557525
2003,Menningarlond uttan Kina,Mió. kr.,Vøruinnflutningur,160.5562
2003,Menningarlond uttan Kina,Mió. kr.,Vøruútflutningur,44.7647
2003,Menningarlond uttan Kina,% av samlaða handlinum,Vøruinnflutningur,3.29980670106801
2003,Menningarlond uttan Kina,% av samlaða handlinum,Vøruútflutningur,1.14422154915523
2004,Menningarlond uttan Kina,Mió. kr.,Vøruinnflutningur,171.6452
2004,Menningarlond uttan Kina,Mió. kr.,Vøruútflutningur,57.7906
2004,Menningarlond uttan Kina,% av samlaða handlinum,Vøruinnflutningur,4.56156767114762
2004,Menningarlond uttan Kina,% av samlaða handlinum,Vøruútflutningur,1.56645293845793
2005,Menningarlond uttan Kina,Mió. kr.,Vøruinnflutningur,295.62
2005,Menningarlond uttan Kina,Mió. kr.,Vøruútflutningur,55.2882
2005,Menningarlond uttan Kina,% av samlaða handlinum,Vøruinnflutningur,6.58375336255927
2005,Menningarlond uttan Kina,% av samlaða handlinum,Vøruútflutningur,1.54162717088541
2006,Menningarlond uttan Kina,Mió. kr.,Vøruinnflutningur,283.6402
2006,Menningarlond uttan Kina,Mió. kr.,Vøruútflutningur,59.0913
2006,Menningarlond uttan Kina,% av samlaða handlinum,Vøruinnflutningur,6.04507082621124
2006,Menningarlond uttan Kina,% av samlaða handlinum,Vøruútflutningur,1.52743976510049
2007,Menningarlond uttan Kina,Mió. kr.,Vøruinnflutningur,520.2842
2007,Menningarlond uttan Kina,Mió. kr.,Vøruútflutningur,201.0921
2007,Menningarlond uttan Kina,% av samlaða handlinum,Vøruinnflutningur,9.42184086702981
2007,Menningarlond uttan Kina,% av samlaða handlinum,Vøruútflutningur,4.9572493782734
2008,Menningarlond uttan Kina,Mió. kr.,Vøruinnflutningur,247.4243
2008,Menningarlond uttan Kina,Mió. kr.,Vøruútflutningur,290.3476
2008,Menningarlond uttan Kina,% av samlaða handlinum,Vøruinnflutningur,4.92786829185371
2008,Menningarlond uttan Kina,% av samlaða handlinum,Vøruútflutningur,6.68132912398065
2009,Menningarlond uttan Kina,Mió. kr.,Vøruinnflutningur,484.5968
2009,Menningarlond uttan Kina,Mió. kr.,Vøruútflutningur,387.6079
2009,Menningarlond uttan Kina,% av samlaða handlinum,Vøruinnflutningur,11.5082739954322
2009,Menningarlond uttan Kina,% av samlaða handlinum,Vøruútflutningur,9.44293656673421
2010,Menningarlond uttan Kina,Mió. kr.,Vøruinnflutningur,209.7058
2010,Menningarlond uttan Kina,Mió. kr.,Vøruútflutningur,609.8908
2010,Menningarlond uttan Kina,% av samlaða handlinum,Vøruinnflutningur,4.79887931303368
2010,Menningarlond uttan Kina,% av samlaða handlinum,Vøruútflutningur,12.9853966696118
2011,Menningarlond uttan Kina,Mió. kr.,Vøruinnflutningur,336.9545
2011,Menningarlond uttan Kina,Mió. kr.,Vøruútflutningur,644.3017
2011,Menningarlond uttan Kina,% av samlaða handlinum,Vøruinnflutningur,6.3830902480944
2011,Menningarlond uttan Kina,% av samlaða handlinum,Vøruútflutningur,11.8848001959705
2012,Menningarlond uttan Kina,Mió. kr.,Vøruinnflutningur,426.0517
2012,Menningarlond uttan Kina,Mió. kr.,Vøruútflutningur,630.5013
2012,Menningarlond uttan Kina,% av samlaða handlinum,Vøruinnflutningur,6.3752062581606
2012,Menningarlond uttan Kina,% av samlaða handlinum,Vøruútflutningur,11.3527304070598
2013,Menningarlond uttan Kina,Mió. kr.,Vøruinnflutningur,255.3734
2013,Menningarlond uttan Kina,Mió. kr.,Vøruútflutningur,699.1458
2013,Menningarlond uttan Kina,% av samlaða handlinum,Vøruinnflutningur,4.07092785982103
2013,Menningarlond uttan Kina,% av samlaða handlinum,Vøruútflutningur,11.3104110860457
2014,Menningarlond uttan Kina,Mió. kr.,Vøruinnflutningur,258.2405
2014,Menningarlond uttan Kina,Mió. kr.,Vøruútflutningur,640.4323
2014,Menningarlond uttan Kina,% av samlaða handlinum,Vøruinnflutningur,4.28994795740381
2014,Menningarlond uttan Kina,% av samlaða handlinum,Vøruútflutningur,9.9125147064721
2015,Menningarlond uttan Kina,Mió. kr.,Vøruinnflutningur,467.5218
2015,Menningarlond uttan Kina,Mió. kr.,Vøruútflutningur,591.5194
2015,Menningarlond uttan Kina,% av samlaða handlinum,Vøruinnflutningur,7.63363013898143
2015,Menningarlond uttan Kina,% av samlaða handlinum,Vøruútflutningur,8.52027252051313
2016,Menningarlond uttan Kina,Mió. kr.,Vøruinnflutningur,268.7506
2016,Menningarlond uttan Kina,Mió. kr.,Vøruútflutningur,262.3452
2016,Menningarlond uttan Kina,% av samlaða handlinum,Vøruinnflutningur,4.07316296743968
2016,Menningarlond uttan Kina,% av samlaða handlinum,Vøruútflutningur,3.24266582339744
2017,Menningarlond uttan Kina,Mió. kr.,Vøruinnflutningur,288.4376
2017,Menningarlond uttan Kina,Mió. kr.,Vøruútflutningur,313.2201
2017,Menningarlond uttan Kina,% av samlaða handlinum,Vøruinnflutningur,3.97268602748807
2017,Menningarlond uttan Kina,% av samlaða handlinum,Vøruútflutningur,3.56879902169226
2018,Menningarlond uttan Kina,Mió. kr.,Vøruinnflutningur,295.5978
2018,Menningarlond uttan Kina,Mió. kr.,Vøruútflutningur,302.6513
2018,Menningarlond uttan Kina,% av samlaða handlinum,Vøruinnflutningur,3.81575739068719
2018,Menningarlond uttan Kina,% av samlaða handlinum,Vøruútflutningur,3.77213693637066
2019,Menningarlond uttan Kina,Mió. kr.,Vøruinnflutningur,377.9958
2019,Menningarlond uttan Kina,Mió. kr.,Vøruútflutningur,317.5897
2019,Menningarlond uttan Kina,% av samlaða handlinum,Vøruinnflutningur,4.61672613027139
2019,Menningarlond uttan Kina,% av samlaða handlinum,Vøruútflutningur,3.33126818076807
2020,Menningarlond uttan Kina,Mió. kr.,Vøruinnflutningur,413.1066
2020,Menningarlond uttan Kina,Mió. kr.,Vøruútflutningur,417.7018
2020,Menningarlond uttan Kina,% av samlaða handlinum,Vøruinnflutningur,5.06758785788547
2020,Menningarlond uttan Kina,% av samlaða handlinum,Vøruútflutningur,4.97217031013365
2021,Menningarlond uttan Kina,Mió. kr.,Vøruinnflutningur,370.0024
2021,Menningarlond uttan Kina,Mió. kr.,Vøruútflutningur,422.0317
2021,Menningarlond uttan Kina,% av samlaða handlinum,Vøruinnflutningur,3.98558657511482
2021,Menningarlond uttan Kina,% av samlaða handlinum,Vøruútflutningur,4.19444069838791
2022,Menningarlond uttan Kina,Mió. kr.,Vøruinnflutningur,436.7038
2022,Menningarlond uttan Kina,Mió. kr.,Vøruútflutningur,852.3654
2022,Menningarlond uttan Kina,% av samlaða handlinum,Vøruinnflutningur,3.59913599070717
2022,Menningarlond uttan Kina,% av samlaða handlinum,Vøruútflutningur,6.70938016979357
