Year,landabólkur,Units,Series,Value
2000,Menningarlond uttan Kina,Mió. kr.,Vøruinnflutningur,336.9466
2000,Menningarlond uttan Kina,Mió. kr.,Vøruútflutningur,20.1666
2000,Menningarlond uttan Kina,% av samlaða handlinum,Vøruinnflutningur,7.81844666652946
2000,Menningarlond uttan Kina,% av samlaða handlinum,Vøruútflutningur,0.526258942332415
2001,Menningarlond uttan Kina,Mió. kr.,Vøruinnflutningur,142.9336
2001,Menningarlond uttan Kina,Mió. kr.,Vøruútflutningur,24.8713
2001,Menningarlond uttan Kina,% av samlaða handlinum,Vøruinnflutningur,3.42672048238033
2001,Menningarlond uttan Kina,% av samlaða handlinum,Vøruútflutningur,0.576989934731397
2002,Menningarlond uttan Kina,Mió. kr.,Vøruinnflutningur,161.0755
2002,Menningarlond uttan Kina,Mió. kr.,Vøruútflutningur,41.4013
2002,Menningarlond uttan Kina,% av samlaða handlinum,Vøruinnflutningur,4.09457169133642
