Year,Kyn,date.age,Value
Kvinnur,18-24 ár,,5.7
Kvinnur,18-24 ár,Eysturoyar region,R42005.8
Kvinnur,18-24 ár,Norðoya region,R41005.6
Kvinnur,18-24 ár,Sandoyar region,R4500-
Kvinnur,18-24 ár,"Streymoyar region, north",R43004.7
Kvinnur,18-24 ár,"Streymoyar region, south",R47006.5
Kvinnur,18-24 ár,Suðuroyar region,R46007.4
Kvinnur,18-24 ár,Vága region,R44001.5
Kvinnur,25-54years,,4.1
Kvinnur,25-54years,Eysturoyar region,R42003.6
Kvinnur,25-54years,Norðoya region,R41005.2
Kvinnur,25-54years,Sandoyar region,R45003
Kvinnur,25-54years,"Streymoyar region, north",R43002.9
Kvinnur,25-54years,"Streymoyar region, south",R47004
Kvinnur,25-54years,Suðuroyar region,R46006.3
Kvinnur,25-54years,Vága region,R44002.9
Kvinnur,55-66 ár,,3.2
Kvinnur,55-66 ár,Eysturoyar region,R42002.8
Kvinnur,55-66 ár,Norðoya region,R41002.8
Kvinnur,55-66 ár,Sandoyar region,R45004.2
Kvinnur,55-66 ár,"Streymoyar region, north",R43002.6
Kvinnur,55-66 ár,"Streymoyar region, south",R47003.4
Kvinnur,55-66 ár,Suðuroyar region,R46004.2
Kvinnur,55-66 ár,Vága region,R44001.9
Kvinnur,67+ ár,,3.1
Kvinnur,67+ ár,Eysturoyar region,R42003.3
