Year,Units,kyn,Series,Value
2018,Í tali,Kvinnur,Tilsamans,150.156412930136
2018,Í tali,Kvinnur,Býur,25.0260688216893
2018,Í tali,Kvinnur,Bygd,116.788321167883
2018,Í tali,Kvinnur,Sukursjúka,0.0
2018,Í tali,Kvinnur,Kroniskar sjúkur í andaleiðini,8.3420229405631
2019,Í tali,,Tilsamans,191.987462043295
2019,Í tali,,Býur,54.8535605837986
2019,Í tali,,Bygd,125.379567048683
2019,Í tali,,Sukursjúka,0.0
2019,Í tali,,Kroniskar sjúkur í andaleiðini,11.754334410814
2019,Í tali,Menn,Tilsamans,231.801697386623
2019,Í tali,Menn,Býur,74.774741092459
2019,Í tali,Menn,Bygd,149.549482184918
2019,Í tali,Menn,Sukursjúka,0.0
2019,Í tali,Menn,Kroniskar sjúkur í andaleiðini,7.4774741092459
2019,Í tali,Kvinnur,Tilsamans,148.160342415014
2019,Í tali,Kvinnur,Býur,32.9245205366697
2019,Í tali,Kvinnur,Bygd,98.773561610009
2019,Í tali,Kvinnur,Sukursjúka,0.0
2019,Í tali,Kvinnur,Kroniskar sjúkur í andaleiðini,16.4622602683348
2020,Í tali,,Tilsamans,127.334465195246
2020,Í tali,,Býur,23.1517209445902
2020,Í tali,,Bygd,88.7482636209292
2020,Í tali,,Sukursjúka,0.0
2020,Í tali,,Kroniskar sjúkur í andaleiðini,15.4344806297268
2020,Í tali,Menn,Tilsamans,161.687428802411
2020,Í tali,Menn,Býur,36.7471429096388
2020,Í tali,Menn,Bygd,117.590857310844
2020,Í tali,Menn,Sukursjúka,0.0
2020,Í tali,Menn,Kroniskar sjúkur í andaleiðini,7.3494285819278
2020,Í tali,Kvinnur,Tilsamans,89.3618749746131
2020,Í tali,Kvinnur,Býur,8.1238068158739
2020,Í tali,Kvinnur,Bygd,56.8666477111174
2020,Í tali,Kvinnur,Sukursjúka,0.0
2020,Í tali,Kvinnur,Kroniskar sjúkur í andaleiðini,24.3714204476218
2021,Í tali,,Tilsamans,176.339799125968
2021,Í tali,,Býur,53.6686345165989
2021,Í tali,,Bygd,107.337269033198
2021,Í tali,,Sukursjúka,0.0
2021,Í tali,,Kroniskar sjúkur í andaleiðini,15.3338955761711
2021,Í tali,Menn,Tilsamans,218.882241354151
2021,Í tali,Menn,Býur,65.6646724062455
2021,Í tali,Menn,Bygd,131.329344812491
2021,Í tali,Menn,Sukursjúka,0.0
2021,Í tali,Menn,Kroniskar sjúkur í andaleiðini,21.8882241354152
2021,Í tali,Kvinnur,Tilsamans,129.24071082391
2021,Í tali,Kvinnur,Býur,40.3877221324717
2021,Í tali,Kvinnur,Bygd,80.7754442649435
2021,Í tali,Kvinnur,Sukursjúka,0.0
2021,Í tali,Kvinnur,Kroniskar sjúkur í andaleiðini,8.0775444264944
