Year,Mát,Vørubólkur,Value
2013,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Ídnaðarvørur,2.23448
2013,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Pløgg,8.3189
2013,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Klædnavørur,3.90378
2014,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Tilsamans,3.5094
2014,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Landbúnaðarvørur,7.47497
2014,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Ídnaðarvørur,3.35061
2014,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Pløgg,12.17244
2014,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Klædnavørur,7.45742
2014,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Tilsamans,2.40286
2014,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Landbúnaðarvørur,7.06618
2014,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Ídnaðarvørur,2.23841
2014,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Pløgg,8.34489
2014,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Klædnavørur,3.90643
2015,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Tilsamans,3.51769
2015,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Landbúnaðarvørur,7.49128
2015,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Ídnaðarvørur,3.35744
2015,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Pløgg,12.07361
2015,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Klædnavørur,7.51423
2015,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Tilsamans,2.41033
2015,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Landbúnaðarvørur,7.08249
2015,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Ídnaðarvørur,2.2445
2015,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Pløgg,8.24606
2015,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Klædnavørur,3.96325
2016,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Tilsamans,3.74558
2016,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Landbúnaðarvørur,7.29789
2016,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Ídnaðarvørur,3.58463
2016,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Pløgg,12.0693
2016,"Miðal álagdur tollur hjá framkomnum londum við støðugum vanligum handilssambondum, skift á vørubólk (%)",Klædnavørur,7.51602
2016,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Tilsamans,2.43505
2016,"Miðal álagdur tollur hjá framkomnum londum í serstøðu, skift á vørubólk (%)",Landbúnaðarvørur,6.8891
