Year,Units,data.material type,Value
2019,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Ikki-metalhavin steinsløg,46.97
2019,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,18.37
2020,Innlendis tilfarsnýtsla (1.000 tons),,1857.88
2020,Innlendis tilfarsnýtsla (1.000 tons),Biomassi,415.56
2020,Innlendis tilfarsnýtsla (1.000 tons),Metalmálmur,24.12
2020,Innlendis tilfarsnýtsla (1.000 tons),Ikki-metalhavin steinsløg,1041.98
2020,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,376.23
2020,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,35.4
2020,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Biomassi,7.92
2020,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Metalmálmur,0.46
2020,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Ikki-metalhavin steinsløg,19.85
2020,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,7.17
2020,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),,102.72
2020,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Biomassi,22.98
2020,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Metalmálmur,1.33
2020,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Ikki-metalhavin steinsløg,57.61
2020,Innlendis tilfarsnýtsla fyri hvørja real-BTÚ-eind (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,20.8
