Year,Units,Slag av tilfari,Value
2005,Innlendis tilfarsnýtsla (1.000 tons),Biomassi,475.1
2005,Innlendis tilfarsnýtsla (1.000 tons),Metalmálmur,4.1
2005,Innlendis tilfarsnýtsla (1.000 tons),Ikki-metalhavin steinsløg,533.1
2005,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,189.3
2005,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,24.9
2005,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Biomassi,9.9
2005,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Metalmálmur,0.1
2005,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Ikki-metalhavin steinsløg,11.1
2005,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,3.9
2005,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),,114.2
2005,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Biomassi,45.2
2005,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Metalmálmur,0.4
2005,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Ikki-metalhavin steinsløg,50.7
2005,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,18.0
2006,Innlendis tilfarsnýtsla (1.000 tons),,1333.3
2006,Innlendis tilfarsnýtsla (1.000 tons),Biomassi,547.2
2006,Innlendis tilfarsnýtsla (1.000 tons),Metalmálmur,2.5
2006,Innlendis tilfarsnýtsla (1.000 tons),Ikki-metalhavin steinsløg,621.2
2006,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,162.4
2006,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,27.7
2006,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Biomassi,11.4
2006,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Metalmálmur,0.1
2006,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Ikki-metalhavin steinsløg,12.9
2006,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,3.4
2006,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),,111.3
2006,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Biomassi,45.7
2006,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Metalmálmur,0.2
2006,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Ikki-metalhavin steinsløg,51.8
2006,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,13.6
2007,Innlendis tilfarsnýtsla (1.000 tons),,1565.8
2007,Innlendis tilfarsnýtsla (1.000 tons),Biomassi,511.0
2007,Innlendis tilfarsnýtsla (1.000 tons),Metalmálmur,2.5
2007,Innlendis tilfarsnýtsla (1.000 tons),Ikki-metalhavin steinsløg,894.2
2007,Innlendis tilfarsnýtsla (1.000 tons),Lívrunnin brennievni og aðrar framleiðslur,158.2
2007,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),,32.4
2007,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Biomassi,10.6
2007,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Metalmálmur,0.1
2007,Innlendis tilfarsnýtsla fyri hvønn íbúgva (1.000 tons),Ikki-metalhavin steinsløg,18.5
