Year,Units,Series,orkukelda,Orkukelda,Value
2012,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Sólin,,0.0
2012,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Havið,,0.0
2012,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Lívfrøðilig brennievni,,0.0
2012,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Jarðhiti,,0.0
2013,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Varandi orkukeldur tilsamans,,996.0291885823581
2013,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Vatn,,817.030830959855
2013,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Vindur,,178.998357622503
2013,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Sólin,,0.0
2013,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Havið,,0.0
2013,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Lívfrøðilig brennievni,,0.0
2013,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Jarðhiti,,0.0
2014,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Varandi orkukeldur tilsamans,,1239.97628631159
2014,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Vatn,,817.4982058722579
2014,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Vindur,,422.478080439327
2014,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Sólin,,0.0
2014,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Havið,,0.0
2014,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Lívfrøðilig brennievni,,0.0
2014,Watt fyri hvønn íbúgva,Uppsett framleiðsluorka til varandi orku (í watt upp á íbúgvan),Jarðhiti,,0.0
