Year,data.measure,Value
2010,data.totalunemploymentoutoftotallabourforce,6.4
2011,data.merchandisetrade,79.8
2011,data.personalremittances,6.1
2011,data.currentaccountbalance,12.1
2011,data.foreigndirectinvestment,..
2011,data.portfolioinvestment,..
2011,data.reservesinmonthsofimports,..
2011,data.debtservice,..
2011,data.externaldebtstocks,128.2
2011,data.DECalternativeconversionfactor,536.2
2011,data.annualbroadmoneygrowth,..
2011,data.broadmoney,..
2011,data.banknonperformingloans,..
2011,data.bankcapitaltoassetsratio,..
2011,data.taxrevenuegdp,43.8
2011,data.cashsurplusdeficit,12.1
2011,data.grossPSD,..
2011,data.annualGDPgrowth,2.7
2011,data.annualgrowthofthegrosscapitalformation,-14.6
2011,data.annualgrowthofhouseholdsandNPISHs,4.3
2011,data.annualgrowthofthegeneralgovernmentfinalconsumptionexpenditure,1.7
2011,data.annualgrowthofexportsofgoodsandservices,15.1
2011,data.annualgrowthofimportsofgoodsandservices,8.6
2011,data.annualinflationconsumerprices,2.3
2011,data.totalunemploymentoutoftotallabourforce,5.3
2012,data.merchandisetrade,87.3
2012,data.personalremittances,6.5
2012,data.currentaccountbalance,-1.3
2012,data.foreigndirectinvestment,..
2012,data.portfolioinvestment,..
2012,data.reservesinmonthsofimports,..
2012,data.debtservice,..
2012,data.externaldebtstocks,131.9
2012,data.DECalternativeconversionfactor,579.7
2012,data.annualbroadmoneygrowth,..
2012,data.broadmoney,..
2012,data.banknonperformingloans,..
2012,data.bankcapitaltoassetsratio,..
2012,data.taxrevenuegdp,43.0
2012,data.cashsurplusdeficit,-1.3
2012,data.grossPSD,..
2012,data.annualGDPgrowth,4.2
2012,data.annualgrowthofthegrosscapitalformation,70.4
2012,data.annualgrowthofhouseholdsandNPISHs,7.9
2012,data.annualgrowthofthegeneralgovernmentfinalconsumptionexpenditure,1.8
2012,data.annualgrowthofexportsofgoodsandservices,4.8
2012,data.annualgrowthofimportsofgoodsandservices,26.4
2012,data.annualinflationconsumerprices,2.1
2012,data.totalunemploymentoutoftotallabourforce,3.0
2013,data.merchandisetrade,82.7
2013,data.personalremittances,6.7
2013,data.currentaccountbalance,7.7
2013,data.foreigndirectinvestment,..
2013,data.portfolioinvestment,..
2013,data.reservesinmonthsofimports,..
2013,data.debtservice,..
2013,data.externaldebtstocks,134.3
2013,data.DECalternativeconversionfactor,561.6
2013,data.annualbroadmoneygrowth,..
2013,data.broadmoney,..
2013,data.banknonperformingloans,..
2013,data.bankcapitaltoassetsratio,..
2013,data.taxrevenuegdp,40.2
2013,data.cashsurplusdeficit,7.7
2013,data.grossPSD,..
2013,data.annualGDPgrowth,7.5
2013,data.annualgrowthofthegrosscapitalformation,-11.1
