Year,Series,energy source,Units,Energy source,Value
2011,Installed renewable energy-generating capacity (in watts per capita),Solar,Watts per capita,,0.0
2011,Installed renewable energy-generating capacity (in watts per capita),Ocean,Watts per capita,,0.0
2011,Installed renewable energy-generating capacity (in watts per capita),Biofuel,Watts per capita,,0.0
2012,Installed renewable energy-generating capacity (in watts per capita),Total renewable,Watts per capita,,991.833059031767
2012,Installed renewable energy-generating capacity (in watts per capita),Hydro,Watts per capita,,813.5887960749
2012,Installed renewable energy-generating capacity (in watts per capita),Wind,Watts per capita,,178.244262956867
2012,Installed renewable energy-generating capacity (in watts per capita),Solar,Watts per capita,,0.0
2012,Installed renewable energy-generating capacity (in watts per capita),Ocean,Watts per capita,,0.0
2012,Installed renewable energy-generating capacity (in watts per capita),Biofuel,Watts per capita,,0.0
2013,Installed renewable energy-generating capacity (in watts per capita),Total renewable,Watts per capita,,995.9670713454179
2013,Installed renewable energy-generating capacity (in watts per capita),Hydro,Watts per capita,,816.9798769333111
2013,Installed renewable energy-generating capacity (in watts per capita),Wind,Watts per capita,,178.987194412107
2013,Installed renewable energy-generating capacity (in watts per capita),Solar,Watts per capita,,0.0
2013,Installed renewable energy-generating capacity (in watts per capita),Ocean,Watts per capita,,0.0
2013,Installed renewable energy-generating capacity (in watts per capita),Biofuel,Watts per capita,,0.0
2014,Installed renewable energy-generating capacity (in watts per capita),Total renewable,Watts per capita,,1239.91180630668
2014,Installed renewable energy-generating capacity (in watts per capita),Hydro,Watts per capita,,817.4556951493471
2014,Installed renewable energy-generating capacity (in watts per capita),Wind,Watts per capita,,422.456111157334
2014,Installed renewable energy-generating capacity (in watts per capita),Solar,Watts per capita,,0.0
2014,Installed renewable energy-generating capacity (in watts per capita),Ocean,Watts per capita,,0.0
2014,Installed renewable energy-generating capacity (in watts per capita),Biofuel,Watts per capita,,0.0
2015,Installed renewable energy-generating capacity (in watts per capita),Total renewable,Watts per capita,,1238.92341257122
2015,Installed renewable energy-generating capacity (in watts per capita),Hydro,Watts per capita,,812.713906093286
2015,Installed renewable energy-generating capacity (in watts per capita),Wind,Watts per capita,,420.005583530652
2015,Installed renewable energy-generating capacity (in watts per capita),Solar,Watts per capita,,0.0
