Year,Series,indicator,Units,Value
2007,Biomass,Domestic material consumption per capita,"1,000 tonnes",10.5827368377449
2007,Biomass,Domestic material consumption per unit of GDP,"1,000 tonnes",40.2298813469912
2007,Metallic minerals,Domestic material consumption,"1,000 tonnes",2.4685
2007,Metallic minerals,Domestic material consumption per capita,"1,000 tonnes",0.051126713889234
2007,Metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",0.194356305458668
2007,Non-metallic minerals,Domestic material consumption,"1,000 tonnes",894.1935
2007,Non-metallic minerals,Domestic material consumption per capita,"1,000 tonnes",18.5202249285448
2007,Non-metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",70.4039477517341
2007,Fossil energy and other products,Domestic material consumption,"1,000 tonnes",158.2194
2007,Fossil energy and other products,Domestic material consumption per capita,"1,000 tonnes",3.2769852118802
2007,Fossil energy and other products,Domestic material consumption per unit of GDP,"1,000 tonnes",12.4573376689841
2008,Total,Domestic material consumption,"1,000 tonnes",1496.2883
2008,Total,Domestic material consumption per capita,"1,000 tonnes",30.8815499716217
2008,Total,Domestic material consumption per unit of GDP,"1,000 tonnes",117.947068050859
2008,Biomass,Domestic material consumption,"1,000 tonnes",456.1658
2008,Biomass,Domestic material consumption per capita,"1,000 tonnes",9.41470099582065
2008,Biomass,Domestic material consumption per unit of GDP,"1,000 tonnes",35.9579224505561
2008,Metallic minerals,Domestic material consumption,"1,000 tonnes",0.088
2008,Metallic minerals,Domestic material consumption per capita,"1,000 tonnes",0.001816211753779
2008,Metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",0.00693672602297
2008,Non-metallic minerals,Domestic material consumption,"1,000 tonnes",891.2596
2008,Non-metallic minerals,Domestic material consumption per capita,"1,000 tonnes",18.3945018316908
2008,Non-metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",70.2548143243392
2008,Fossil energy and other products,Domestic material consumption,"1,000 tonnes",148.7748
2008,Fossil energy and other products,Domestic material consumption per capita,"1,000 tonnes",3.07052886847944
2008,Fossil energy and other products,Domestic material consumption per unit of GDP,"1,000 tonnes",11.7273866672973
2009,Total,Domestic material consumption,"1,000 tonnes",829.9873
2009,Total,Domestic material consumption per capita,"1,000 tonnes",17.0976289551747
2009,Total,Domestic material consumption per unit of GDP,"1,000 tonnes",67.4419056286413
2009,Biomass,Domestic material consumption,"1,000 tonnes",298.3482
2009,Biomass,Domestic material consumption per capita,"1,000 tonnes",6.14593358602505
2009,Biomass,Domestic material consumption per unit of GDP,"1,000 tonnes",24.2427458213818
2009,Metallic minerals,Domestic material consumption,"1,000 tonnes",-1.5869
2009,Metallic minerals,Domestic material consumption per capita,"1,000 tonnes",-0.032689930784443
2009,Metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",-0.128946021272965
2009,Non-metallic minerals,Domestic material consumption,"1,000 tonnes",402.9478
2009,Non-metallic minerals,Domestic material consumption per capita,"1,000 tonnes",8.30067155570204
2009,Non-metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",32.7421485857297
2009,Fossil energy and other products,Domestic material consumption,"1,000 tonnes",130.2782
2009,Fossil energy and other products,Domestic material consumption per capita,"1,000 tonnes",2.68371374423204
2009,Fossil energy and other products,Domestic material consumption per unit of GDP,"1,000 tonnes",10.5859572428027
2010,Total,Domestic material consumption,"1,000 tonnes",756.4264
2010,Total,Domestic material consumption per capita,"1,000 tonnes",15.6099385034463
2010,Total,Domestic material consumption per unit of GDP,"1,000 tonnes",57.917995758137295
2010,Biomass,Domestic material consumption,"1,000 tonnes",343.9855
2010,Biomass,Domestic material consumption per capita,"1,000 tonnes",7.09863180486194
2010,Biomass,Domestic material consumption per unit of GDP,"1,000 tonnes",26.3382540982979
2010,Metallic minerals,Domestic material consumption,"1,000 tonnes",-3.2023
2010,Metallic minerals,Domestic material consumption per capita,"1,000 tonnes",-0.066084031532461
2010,Metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",-0.245193448848801
2010,Non-metallic minerals,Domestic material consumption,"1,000 tonnes",262.1346
2010,Non-metallic minerals,Domestic material consumption per capita,"1,000 tonnes",5.40952164761237
2010,Non-metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",20.0711009701155
2010,Fossil energy and other products,Domestic material consumption,"1,000 tonnes",153.5087
2010,Fossil energy and other products,Domestic material consumption per capita,"1,000 tonnes",3.16787114614718
2010,Fossil energy and other products,Domestic material consumption per unit of GDP,"1,000 tonnes",11.7538417953646
2011,Total,Domestic material consumption,"1,000 tonnes",876.7216
2011,Total,Domestic material consumption per capita,"1,000 tonnes",18.1498949373247
2011,Total,Domestic material consumption per unit of GDP,"1,000 tonnes",65.3431118266106
2011,Biomass,Domestic material consumption,"1,000 tonnes",359.5671
2011,Biomass,Domestic material consumption per capita,"1,000 tonnes",7.44375989814614
2011,Biomass,Domestic material consumption per unit of GDP,"1,000 tonnes",26.7989669975852
2011,Metallic minerals,Domestic material consumption,"1,000 tonnes",1.0394
2011,Metallic minerals,Domestic material consumption per capita,"1,000 tonnes",0.021517663985757
2011,Metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",0.077467727990937
2011,Non-metallic minerals,Domestic material consumption,"1,000 tonnes",366.4015
2011,Non-metallic minerals,Domestic material consumption per capita,"1,000 tonnes",7.58524568104421
2011,Non-metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",27.3083430223892
2011,Fossil energy and other products,Domestic material consumption,"1,000 tonnes",149.7137
2011,Fossil energy and other products,Domestic material consumption per capita,"1,000 tonnes",3.09937376434908
2011,Fossil energy and other products,Domestic material consumption per unit of GDP,"1,000 tonnes",11.1583415317652
2012,Total,Domestic material consumption,"1,000 tonnes",905.2062
2012,Total,Domestic material consumption per capita,"1,000 tonnes",18.8178864323802
2012,Total,Domestic material consumption per unit of GDP,"1,000 tonnes",64.7255475392019
2012,Biomass,Domestic material consumption,"1,000 tonnes",225.2761
2012,Biomass,Domestic material consumption per capita,"1,000 tonnes",4.68315403245086
2012,Biomass,Domestic material consumption per unit of GDP,"1,000 tonnes",16.10806346664
2012,Metallic minerals,Domestic material consumption,"1,000 tonnes",3.4374
2012,Metallic minerals,Domestic material consumption per capita,"1,000 tonnes",0.071458417786648
2012,Metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",0.24578664740835
2012,Non-metallic minerals,Domestic material consumption,"1,000 tonnes",472.7322
2012,Non-metallic minerals,Domestic material consumption per capita,"1,000 tonnes",9.82739717484175
2012,Non-metallic minerals,Domestic material consumption per unit of GDP,"1,000 tonnes",33.8020778960766
2012,Fossil energy and other products,Domestic material consumption,"1,000 tonnes",203.7606
2012,Fossil energy and other products,Domestic material consumption per capita,"1,000 tonnes",4.23587888615174
2012,Fossil energy and other products,Domestic material consumption per unit of GDP,"1,000 tonnes",14.569626679442
2013,Total,Domestic material consumption,"1,000 tonnes",1044.3704
2013,Total,Domestic material consumption per capita,"1,000 tonnes",21.7235473370012
2013,Total,Domestic material consumption per unit of GDP,"1,000 tonnes",69.4556845010475
2013,Biomass,Domestic material consumption,"1,000 tonnes",342.8754
2013,Biomass,Domestic material consumption per capita,"1,000 tonnes",7.13201942777506
2013,Biomass,Domestic material consumption per unit of GDP,"1,000 tonnes",22.8028730090114
