Year,Series,sex,age,Units,Value
2013,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,,pct.,4.0
2014,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,,pct.,3.9
2015,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,,pct.,3.5
2016,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,,pct.,3.5
2017,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,,pct.,3.1
2018,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,,pct.,3.0
2019,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,,pct.,2.9
2020,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,,pct.,2.7
2021,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,,pct.,2.7
2022,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,,pct.,2.6
2023,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,,pct.,2.7
2024,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,,pct.,3.0
2009,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 0 - 17,pct.,5.4
2010,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 0 - 17,pct.,5.8
2011,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 0 - 17,pct.,6.0
2012,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 0 - 17,pct.,6.2
2013,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 0 - 17,pct.,5.4
2014,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 0 - 17,pct.,5.1
2015,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 0 - 17,pct.,4.8
2016,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 0 - 17,pct.,4.6
2017,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 0 - 17,pct.,3.8
2018,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 0 - 17,pct.,3.4
2019,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 0 - 17,pct.,3.7
2020,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 0 - 17,pct.,3.6
2021,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 0 - 17,pct.,3.5
2022,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 0 - 17,pct.,3.1
2023,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 0 - 17,pct.,3.5
2024,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 0 - 17,pct.,4.0
2009,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 18 - 24,pct.,5.2
2010,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 18 - 24,pct.,6.1
2011,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 18 - 24,pct.,7.8
2012,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 18 - 24,pct.,8.3
2013,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 18 - 24,pct.,5.9
2014,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 18 - 24,pct.,6.1
2015,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 18 - 24,pct.,5.3
2016,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 18 - 24,pct.,4.9
2017,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 18 - 24,pct.,4.2
2018,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 18 - 24,pct.,4.5
2019,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 18 - 24,pct.,4.0
2020,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 18 - 24,pct.,3.9
2021,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 18 - 24,pct.,4.2
2022,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 18 - 24,pct.,4.7
2023,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 18 - 24,pct.,4.9
2024,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 18 - 24,pct.,4.3
2009,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 25 - 54,pct.,3.9
2010,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 25 - 54,pct.,4.2
2011,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 25 - 54,pct.,4.4
2012,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 25 - 54,pct.,4.8
2013,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 25 - 54,pct.,3.9
2014,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 25 - 54,pct.,3.7
2015,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 25 - 54,pct.,3.5
2016,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 25 - 54,pct.,3.4
2017,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 25 - 54,pct.,3.0
2018,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,Age 25 - 54,pct.,3.0
