Year,material type,Units,Series,Value
2006,MF3,TON,EN_MAT_DOMCMPC,12.8902773310646
2006,MF3,TON,EN_MAT_DOMCMPG,51.7724253460792
2006,MF4,TON,EN_MAT_DOMCMPT,229.8056
2006,MF4,TON,EN_MAT_DOMCMPC,4.76859197161325
2006,MF4,TON,EN_MAT_DOMCMPG,19.1525415253319
2007,MF0,TON,EN_MAT_DOMCMPT,1662.5498
2007,MF0,TON,EN_MAT_DOMCMPC,34.433440341321
2007,MF0,TON,EN_MAT_DOMCMPG,130.571181741787
2007,MF1,TON,EN_MAT_DOMCMPT,510.9539
2007,MF1,TON,EN_MAT_DOMCMPC,10.5824803761158
2007,MF1,TON,EN_MAT_DOMCMPG,40.1286352676924
2007,MF2,TON,EN_MAT_DOMCMPT,2.4685
2007,MF2,TON,EN_MAT_DOMCMPC,0.05112565499244
2007,MF2,TON,EN_MAT_DOMCMPG,0.193867854141633
2007,MF3,TON,EN_MAT_DOMCMPT,894.1935
2007,MF3,TON,EN_MAT_DOMCMPC,18.5198413520287
2007,MF3,TON,EN_MAT_DOMCMPG,70.22701034328391
2007,MF4,TON,EN_MAT_DOMCMPT,247.4982
2007,MF4,TON,EN_MAT_DOMCMPC,5.12599051425968
2007,MF4,TON,EN_MAT_DOMCMPG,19.4376929057795
2008,MF0,TON,EN_MAT_DOMCMPT,1561.195
2008,MF0,TON,EN_MAT_DOMCMPC,32.2198144651168
2008,MF0,TON,EN_MAT_DOMCMPG,122.989750821274
2008,MF1,TON,EN_MAT_DOMCMPT,456.164
2008,MF1,TON,EN_MAT_DOMCMPC,9.41427524791299
2008,MF1,TON,EN_MAT_DOMCMPG,35.9362518414647
2008,MF2,TON,EN_MAT_DOMCMPT,0.088
2008,MF2,TON,EN_MAT_DOMCMPC,0.001816136788121
2008,MF2,TON,EN_MAT_DOMCMPG,0.006932572851099
2008,MF3,TON,EN_MAT_DOMCMPT,891.2596
2008,MF3,TON,EN_MAT_DOMCMPC,18.3937425832482
2008,MF3,TON,EN_MAT_DOMCMPG,70.2127512072918
2008,MF4,TON,EN_MAT_DOMCMPT,204.9187
2008,MF4,TON,EN_MAT_DOMCMPC,4.22909533686242
2008,MF4,TON,EN_MAT_DOMCMPG,16.1433388216202
2009,MF0,TON,EN_MAT_DOMCMPT,926.8357
2009,MF0,TON,EN_MAT_DOMCMPC,19.0919066452437
2009,MF0,TON,EN_MAT_DOMCMPG,75.29801200757181
2009,MF1,TON,EN_MAT_DOMCMPT,298.3463
2009,MF1,TON,EN_MAT_DOMCMPC,6.14564124747662
2009,MF1,TON,EN_MAT_DOMCMPG,24.2382584958851
2009,MF2,TON,EN_MAT_DOMCMPT,-1.5869
2009,MF2,TON,EN_MAT_DOMCMPC,-0.0326885840234
2009,MF2,TON,EN_MAT_DOMCMPG,-0.128922974433134
2009,MF3,TON,EN_MAT_DOMCMPT,402.9478
2009,MF3,TON,EN_MAT_DOMCMPC,8.30032958431179
2009,MF3,TON,EN_MAT_DOMCMPG,32.7362965009059
2009,MF4,TON,EN_MAT_DOMCMPT,219.035
2009,MF4,TON,EN_MAT_DOMCMPC,4.5119062332633
2009,MF4,TON,EN_MAT_DOMCMPG,17.7948476305762
2010,MF0,TON,EN_MAT_DOMCMPT,831.0762
2010,MF0,TON,EN_MAT_DOMCMPC,17.1497358646306
2010,MF0,TON,EN_MAT_DOMCMPG,63.372237727044
2010,MF1,TON,EN_MAT_DOMCMPT,343.9836
2010,MF1,TON,EN_MAT_DOMCMPC,7.09829962855964
2010,MF1,TON,EN_MAT_DOMCMPG,26.2298577114883
2010,MF2,TON,EN_MAT_DOMCMPT,-3.2023
2010,MF2,TON,EN_MAT_DOMCMPC,-0.066081304168386
2010,MF2,TON,EN_MAT_DOMCMPG,-0.24418569184548
2010,MF3,TON,EN_MAT_DOMCMPT,262.1346
2010,MF3,TON,EN_MAT_DOMCMPC,5.40929839042509
2010,MF3,TON,EN_MAT_DOMCMPG,19.9886077686782
2010,MF4,TON,EN_MAT_DOMCMPT,219.7649
2010,MF4,TON,EN_MAT_DOMCMPC,4.53497523730912
2010,MF4,TON,EN_MAT_DOMCMPG,16.7577816412743
2011,MF0,TON,EN_MAT_DOMCMPT,935.4358
2011,MF0,TON,EN_MAT_DOMCMPC,19.3647952635283
2011,MF0,TON,EN_MAT_DOMCMPG,69.5356882684388
2011,MF1,TON,EN_MAT_DOMCMPT,359.5652
2011,MF1,TON,EN_MAT_DOMCMPC,7.44348942160394
2011,MF1,TON,EN_MAT_DOMCMPG,26.7283053090109
2011,MF2,TON,EN_MAT_DOMCMPT,1.0394
2011,MF2,TON,EN_MAT_DOMCMPC,0.021516995818325
2011,MF2,TON,EN_MAT_DOMCMPG,0.077263874641333
2011,MF3,TON,EN_MAT_DOMCMPT,366.4015
2011,MF3,TON,EN_MAT_DOMCMPC,7.58501014366745
2011,MF3,TON,EN_MAT_DOMCMPG,27.236482167016
2011,MF4,TON,EN_MAT_DOMCMPT,197.7462
2011,MF4,TON,EN_MAT_DOMCMPC,4.09361569991306
2011,MF4,TON,EN_MAT_DOMCMPG,14.6994781677891
2012,MF0,TON,EN_MAT_DOMCMPT,943.6587
