Year,Slag av tilfari,Mát,Value
2008,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,36.0
2008,Metalmálmur,Innlendis tilfarsnýtsla,0.1
2008,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,0.0
2008,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,0.0
2008,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,891.3
2008,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,18.4
2008,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,70.3
2008,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,213.7
2008,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,4.4
2008,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,16.8
2009,Tilsamans,Innlendis tilfarsnýtsla,926.8
2009,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,19.1
2009,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,75.3
2009,Biomassi,Innlendis tilfarsnýtsla,298.3
2009,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,6.1
2009,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,24.2
2009,Metalmálmur,Innlendis tilfarsnýtsla,-1.6
2009,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,0.0
2009,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,-0.1
2009,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,402.9
2009,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,8.3
2009,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,32.7
2009,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,227.1
2009,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,4.7
2009,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,18.5
2010,Tilsamans,Innlendis tilfarsnýtsla,831.1
2010,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,17.2
2010,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,63.6
2010,Biomassi,Innlendis tilfarsnýtsla,344.0
2010,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,7.1
2010,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,26.3
2010,Metalmálmur,Innlendis tilfarsnýtsla,-3.2
2010,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,-0.1
2010,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,-0.2
2010,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,262.1
2010,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,5.4
2010,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,20.1
2010,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,228.2
2010,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,4.7
2010,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,17.5
2011,Tilsamans,Innlendis tilfarsnýtsla,935.4
2011,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,19.4
2011,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,69.7
2011,Biomassi,Innlendis tilfarsnýtsla,359.6
2011,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,7.4
2011,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,26.8
2011,Metalmálmur,Innlendis tilfarsnýtsla,1.0
2011,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,0.0
2011,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,0.1
2011,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,366.4
2011,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,7.6
2011,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,27.3
2011,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,208.4
2011,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,4.3
2011,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,15.5
2012,Tilsamans,Innlendis tilfarsnýtsla,943.7
2012,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,19.6
2012,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,67.5
2012,Biomassi,Innlendis tilfarsnýtsla,225.3
2012,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,4.7
2012,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,16.1
2012,Metalmálmur,Innlendis tilfarsnýtsla,3.4
2012,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,0.1
2012,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,0.2
2012,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,472.7
2012,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,9.8
2012,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,33.8
2012,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,242.2
2012,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,5.0
2012,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,17.3
2013,Tilsamans,Innlendis tilfarsnýtsla,1090.2
2013,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,22.7
2013,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,72.5
2013,Biomassi,Innlendis tilfarsnýtsla,342.9
2013,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,7.1
2013,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,22.8
2013,Metalmálmur,Innlendis tilfarsnýtsla,4.9
2013,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,0.1
2013,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,0.3
2013,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,444.6
2013,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,9.2
2013,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,29.6
2013,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,297.8
2013,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,6.2
2013,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,19.8
2014,Tilsamans,Innlendis tilfarsnýtsla,1469.0
2014,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,30.4
2014,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,90.2
2014,Biomassi,Innlendis tilfarsnýtsla,365.4
2014,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,7.6
2014,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,22.4
2014,Metalmálmur,Innlendis tilfarsnýtsla,6.1
2014,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,0.1
2014,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,0.4
2014,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,786.1
2014,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,16.3
