Year,Series,indicator,Units,Value
2006,MF3,EN_MAT_DOMCMPG,TON,51.8497763087607
2006,MF4,EN_MAT_DOMCMPT,TON,162.3778
2006,MF4,EN_MAT_DOMCMPC,TON,3.36946317777178
2006,MF4,EN_MAT_DOMCMPG,TON,13.5531684027778
2007,MF0,EN_MAT_DOMCMPT,TON,1565.8372
2007,MF0,EN_MAT_DOMCMPC,TON,32.4310757632244
2007,MF0,EN_MAT_DOMCMPG,TON,123.285530946626
2007,MF1,EN_MAT_DOMCMPT,TON,510.9557
2007,MF1,EN_MAT_DOMCMPC,TON,10.5827368377449
2007,MF1,EN_MAT_DOMCMPG,TON,40.2298813469912
2007,MF2,EN_MAT_DOMCMPT,TON,2.4685
2007,MF2,EN_MAT_DOMCMPC,TON,0.051126713889234
2007,MF2,EN_MAT_DOMCMPG,TON,0.194356305458668
2007,MF3,EN_MAT_DOMCMPT,TON,894.1935
2007,MF3,EN_MAT_DOMCMPC,TON,18.5202249285448
2007,MF3,EN_MAT_DOMCMPG,TON,70.4039477517341
2007,MF4,EN_MAT_DOMCMPT,TON,158.2194
2007,MF4,EN_MAT_DOMCMPC,TON,3.2769852118802
2007,MF4,EN_MAT_DOMCMPG,TON,12.4573376689841
2008,MF0,EN_MAT_DOMCMPT,TON,1496.2883
2008,MF0,EN_MAT_DOMCMPC,TON,30.8815499716217
2008,MF0,EN_MAT_DOMCMPG,TON,117.947068050859
2008,MF1,EN_MAT_DOMCMPT,TON,456.1658
2008,MF1,EN_MAT_DOMCMPC,TON,9.41470099582065
2008,MF1,EN_MAT_DOMCMPG,TON,35.9579224505561
2008,MF2,EN_MAT_DOMCMPT,TON,0.088
2008,MF2,EN_MAT_DOMCMPC,TON,0.001816211753779
2008,MF2,EN_MAT_DOMCMPG,TON,0.00693672602297
2008,MF3,EN_MAT_DOMCMPT,TON,891.2596
2008,MF3,EN_MAT_DOMCMPC,TON,18.3945018316908
2008,MF3,EN_MAT_DOMCMPG,TON,70.2548143243392
2008,MF4,EN_MAT_DOMCMPT,TON,148.7748
2008,MF4,EN_MAT_DOMCMPC,TON,3.07052886847944
2008,MF4,EN_MAT_DOMCMPG,TON,11.7273866672973
2009,MF0,EN_MAT_DOMCMPT,TON,829.9873
2009,MF0,EN_MAT_DOMCMPC,TON,17.0976289551747
2009,MF0,EN_MAT_DOMCMPG,TON,67.4419056286413
2009,MF1,EN_MAT_DOMCMPT,TON,298.3482
2009,MF1,EN_MAT_DOMCMPC,TON,6.14593358602505
2009,MF1,EN_MAT_DOMCMPG,TON,24.2427458213818
2009,MF2,EN_MAT_DOMCMPT,TON,-1.5869
2009,MF2,EN_MAT_DOMCMPC,TON,-0.032689930784443
2009,MF2,EN_MAT_DOMCMPG,TON,-0.128946021272965
2009,MF3,EN_MAT_DOMCMPT,TON,402.9478
2009,MF3,EN_MAT_DOMCMPC,TON,8.30067155570204
2009,MF3,EN_MAT_DOMCMPG,TON,32.7421485857297
2009,MF4,EN_MAT_DOMCMPT,TON,130.2782
