Year,Series,sex,age,Units,Value
2021,SL_TLF_UEM,F,Age25-54,PCT,0.7
2022,SL_TLF_UEM,F,Age25-54,PCT,0.6
2023,SL_TLF_UEM,F,Age25-54,PCT,0.5
2024,SL_TLF_UEM,F,Age25-54,PCT,0.5
2025,SL_TLF_UEM,F,Age25-54,PCT,0.7
2015,SL_TLF_UEM,F,Age55-74,PCT,1.7
2016,SL_TLF_UEM,F,Age55-74,PCT,1.7
2017,SL_TLF_UEM,F,Age55-74,PCT,1.1
2018,SL_TLF_UEM,F,Age55-74,PCT,0.8
2019,SL_TLF_UEM,F,Age55-74,PCT,0.3
2020,SL_TLF_UEM,F,Age55-74,PCT,0.7
2021,SL_TLF_UEM,F,Age55-74,PCT,0.4
2022,SL_TLF_UEM,F,Age55-74,PCT,0.2
2023,SL_TLF_UEM,F,Age55-74,PCT,0.3
2024,SL_TLF_UEM,F,Age55-74,PCT,0.3
2025,SL_TLF_UEM,F,Age55-74,PCT,0.3
2015,SL_TLF_UEM,M,,PCT,3.0
2016,SL_TLF_UEM,M,,PCT,3.1
2017,SL_TLF_UEM,M,,PCT,2.3
2018,SL_TLF_UEM,M,,PCT,1.6
2019,SL_TLF_UEM,M,,PCT,0.9
2020,SL_TLF_UEM,M,,PCT,1.5
2021,SL_TLF_UEM,M,,PCT,1.5
2022,SL_TLF_UEM,M,,PCT,2.0
2023,SL_TLF_UEM,M,,PCT,1.6
2024,SL_TLF_UEM,M,,PCT,1.5
2025,SL_TLF_UEM,M,,PCT,1.2
2015,SL_TLF_UEM,M,Age15-24,PCT,9.5
2016,SL_TLF_UEM,M,Age15-24,PCT,9.9
2017,SL_TLF_UEM,M,Age15-24,PCT,7.6
2018,SL_TLF_UEM,M,Age15-24,PCT,5.8
2019,SL_TLF_UEM,M,Age15-24,PCT,2.0
2020,SL_TLF_UEM,M,Age15-24,PCT,3.9
2021,SL_TLF_UEM,M,Age15-24,PCT,4.3
2022,SL_TLF_UEM,M,Age15-24,PCT,9.3
2023,SL_TLF_UEM,M,Age15-24,PCT,5.3
2024,SL_TLF_UEM,M,Age15-24,PCT,4.7
2025,SL_TLF_UEM,M,Age15-24,PCT,2.3
2015,SL_TLF_UEM,M,Age25-54,PCT,1.8
2016,SL_TLF_UEM,M,Age25-54,PCT,1.8
2017,SL_TLF_UEM,M,Age25-54,PCT,1.3
2018,SL_TLF_UEM,M,Age25-54,PCT,0.8
2019,SL_TLF_UEM,M,Age25-54,PCT,0.6
2020,SL_TLF_UEM,M,Age25-54,PCT,1.0
2021,SL_TLF_UEM,M,Age25-54,PCT,0.9
2022,SL_TLF_UEM,M,Age25-54,PCT,0.5
2023,SL_TLF_UEM,M,Age25-54,PCT,1.0
2024,SL_TLF_UEM,M,Age25-54,PCT,1.0
2025,SL_TLF_UEM,M,Age25-54,PCT,1.0
2015,SL_TLF_UEM,M,Age55-74,PCT,1.5
2016,SL_TLF_UEM,M,Age55-74,PCT,1.9
2017,SL_TLF_UEM,M,Age55-74,PCT,1.1
2018,SL_TLF_UEM,M,Age55-74,PCT,0.9
2019,SL_TLF_UEM,M,Age55-74,PCT,0.8
2020,SL_TLF_UEM,M,Age55-74,PCT,1.1
2021,SL_TLF_UEM,M,Age55-74,PCT,1.0
2022,SL_TLF_UEM,M,Age55-74,PCT,0.5
2023,SL_TLF_UEM,M,Age55-74,PCT,0.5
2024,SL_TLF_UEM,M,Age55-74,PCT,0.6
2025,SL_TLF_UEM,M,Age55-74,PCT,0.8
