Value,Disaggregation combinations using this value,Number of indicators
0.1855299820295,1,1
0.1928290093225,1,1
0.30375310536,1,1
0.32236422909,1,1
0.3275333271,1,1
0.33073567386,1,1
0.3349713705,1,1
0.35072948847,1,1
0.377304658080001,1,1
0.37909602459,1,1
0.38712617502,1,1
0.3881552607,1,1
0.40404526194,1,1
0.40432629312,1,1
0.41673026088,1,1
0.4500081339,1,1
0.45889966845,1,1
0.4672247958,1,1
0.47621071818,1,1
0.47745654066,1,1
0.47747189307,1,1
0.47760008901,1,1
0.47873266407,1,1
0.48629943531,1,1
0.4897402815,1,1
0.49432176153,1,1
0.49617259305,1,1
0.50408307804,1,1
0.50676975771,1,1
0.52929408321815,1,1
0.534333646221,1,1
0.5402720946784,1,1
0.55615165653305,1,1
0.5605491678375,1,1
0.58925139312,1,1
0.59983566158405,1,1
0.629143491564801,1,1
0.639027662180703,1,1
0.649500646113681,1,1
0.649634144481681,1,1
0.66480694293,1,1
0.66579216419915,1,1
0.66817337964,1,1
0.668768428863456,1,1
0.6721524434764,1,1
0.67218575402615,1,1
0.674637619839,1,1
0.68912389911,1,1
0.69456920981705,1,1
0.69900561162,1,1
0.7030326844335,1,1
0.71246999784605,1,1
0.73008170643,1,1
0.739940645677,1,1
0.744483747398702,1,1
0.751230389838801,1,1
0.761614112785,1,1
0.77145324394,1,1
0.77399522424,1,1
0.77987341884,1,1
0.787743280707,1,1
0.7888216140052,1,1
0.788829216612,1,1
0.788962581566,1,1
0.792799701734,1,1
0.792993759811,1,1
0.794639788581,1,1
0.80243466928115,1,1
0.806052373556,1,1
0.806591333089,1,1
0.8072381841,1,1
0.808483916232,1,1
0.816465326155,1,1
0.818944348526,1,1
0.830285483365,1,1
0.83575398112,1,1
0.83605807704,1,1
0.839860745188,1,1
0.84746971989,1,1
0.849716660636,1,1
0.861135956725,1,1
0.86260166043,1,1
0.8679660099052,1,1
0.870822707815,1,1
0.873660853905,1,1
0.8835445323,1,1
0.949482067611,1,1
0.9686409136,1,1
1.001444353881,1,1
1.045891919731,1,1
1.088968975166,1,1
1.107306905731,1,1
1.1279217339405,1,1
1.130188369615,1,1
1.132443546626,1,1
1.1896239732705,1,1
1.211718906745,1,1
