Year,Series,ávísi,Units,Slag av tilfari,Value
2002,Biomassi,Innlendis tilfarsnýtsla,1.000 tons,,467.8751
2002,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,9.89280148854518
2002,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,46.431842089593694
2002,Metalmálmur,Innlendis tilfarsnýtsla,1.000 tons,,5.3165
2002,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,0.112412648405206
2002,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,0.527608518746403
2002,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,1.000 tons,,456.5578
2002,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,9.65350727885906
2002,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,45.308715241252
2002,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,1.000 tons,,191.2165
2002,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,4.04310226347673
2002,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,18.9762916062958
2003,Tilsamans,Innlendis tilfarsnýtsla,1.000 tons,,1183.3225
2003,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,24.7055661106124
2003,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,119.7319160992
2003,Biomassi,Innlendis tilfarsnýtsla,1.000 tons,,565.8382
2003,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,11.813645948598
2003,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,57.2531088423673
2003,Metalmálmur,Innlendis tilfarsnýtsla,1.000 tons,,5.0811
2003,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,0.106083888343738
2003,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,0.514120063542816
2003,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,1.000 tons,,424.2379
2003,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,8.85729586404159
2003,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,42.9255901488399
2003,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,1.000 tons,,188.1653
2003,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,3.928540409629
2003,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,19.0390970444496
2004,Tilsamans,Innlendis tilfarsnýtsla,1.000 tons,,1141.8991
2004,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,23.679798849085
2004,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,111.577872016103
2004,Biomassi,Innlendis tilfarsnýtsla,1.000 tons,,536.0704
2004,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,11.116603245373
2004,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,52.380805346830705
2004,Metalmálmur,Innlendis tilfarsnýtsla,1.000 tons,,6.6865
2004,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,0.138659339519934
2004,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,0.653354960377561
2004,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,1.000 tons,,409.0415
2004,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,8.4823785577272
2004,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,39.9684877028757
2004,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,1.000 tons,,190.1006
2004,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,3.94215563274405
2004,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,18.5752142347642
2005,Tilsamans,Innlendis tilfarsnýtsla,1.000 tons,,1201.5243
2005,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,24.9229778363186
2005,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,114.20248075278
2005,Biomassi,Innlendis tilfarsnýtsla,1.000 tons,,475.0525
2005,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,9.85391883342495
2005,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,45.1527896587777
2005,Metalmálmur,Innlendis tilfarsnýtsla,1.000 tons,,4.0854
2005,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,0.084742633713272
2005,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,0.388309096093527
2005,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,1.000 tons,,533.0565
2005,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,11.0570841846524
2005,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,50.6659538066724
2005,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,1.000 tons,,189.33
2005,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,3.92723425880791
2005,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,17.9954376960365
2006,Tilsamans,Innlendis tilfarsnýtsla,1.000 tons,,1333.3352
2006,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,27.6677221887904
2006,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,111.289329594017
2006,Biomassi,Innlendis tilfarsnýtsla,1.000 tons,,547.2128
2006,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,11.3550828992965
2006,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,45.674145299145295
2006,Metalmálmur,Innlendis tilfarsnýtsla,1.000 tons,,2.5427
2006,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,0.052762964038928
2006,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,0.212231236645299
2006,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,1.000 tons,,621.2018
2006,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,12.8904110726069
2006,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,51.8497763087607
2006,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,1.000 tons,,162.3778
2006,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,3.36946317777178
2006,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,13.5531684027778
2007,Tilsamans,Innlendis tilfarsnýtsla,1.000 tons,,1565.8372
2007,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,32.4310757632244
2007,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,123.285530946626
2007,Biomassi,Innlendis tilfarsnýtsla,1.000 tons,,510.9557
2007,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,10.5827368377449
2007,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,40.2298813469912
2007,Metalmálmur,Innlendis tilfarsnýtsla,1.000 tons,,2.4685
2007,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,0.051126713889234
2007,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,0.194356305458668
2007,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,1.000 tons,,894.1935
2007,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,18.5202249285448
2007,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,70.4039477517341
2007,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,1.000 tons,,158.2194
2007,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,3.2769852118802
2007,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,12.4573376689841
2008,Tilsamans,Innlendis tilfarsnýtsla,1.000 tons,,1496.2883
2008,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,30.8815499716217
2008,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,117.947068050859
2008,Biomassi,Innlendis tilfarsnýtsla,1.000 tons,,456.1658
2008,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,9.41470099582065
2008,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,35.9579224505561
2008,Metalmálmur,Innlendis tilfarsnýtsla,1.000 tons,,0.088
2008,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,0.001816211753779
2008,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,0.00693672602297
2008,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,1.000 tons,,891.2596
2008,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,18.3945018316908
2008,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,70.2548143243392
2008,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,1.000 tons,,148.7748
2008,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,3.07052886847944
2008,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,11.7273866672973
2009,Tilsamans,Innlendis tilfarsnýtsla,1.000 tons,,829.9873
2009,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,17.0976289551747
2009,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,67.4419056286413
2009,Biomassi,Innlendis tilfarsnýtsla,1.000 tons,,298.3482
2009,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,6.14593358602505
2009,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,24.2427458213818
2009,Metalmálmur,Innlendis tilfarsnýtsla,1.000 tons,,-1.5869
2009,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,-0.032689930784443
2009,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,-0.128946021272965
2009,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,1.000 tons,,402.9478
2009,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,8.30067155570204
2009,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,32.7421485857297
2009,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,1.000 tons,,130.2782
2009,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,2.68371374423204
2009,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,10.5859572428027
2010,Tilsamans,Innlendis tilfarsnýtsla,1.000 tons,,756.4264
2010,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,15.6099385034463
2010,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,57.917995758137295
2010,Biomassi,Innlendis tilfarsnýtsla,1.000 tons,,343.9855
2010,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,7.09863180486194
2010,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,26.3382540982979
2010,Metalmálmur,Innlendis tilfarsnýtsla,1.000 tons,,-3.2023
2010,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,-0.066084031532461
2010,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,-0.245193448848801
2010,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,1.000 tons,,262.1346
2010,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,5.40952164761237
2010,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,20.0711009701155
2010,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,1.000 tons,,153.5087
2010,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,3.16787114614718
2010,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,11.7538417953646
2011,Tilsamans,Innlendis tilfarsnýtsla,1.000 tons,,876.7216
2011,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,18.1498949373247
2011,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,65.3431118266106
2011,Biomassi,Innlendis tilfarsnýtsla,1.000 tons,,359.5671
2011,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,7.44375989814614
2011,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,26.7989669975852
2011,Metalmálmur,Innlendis tilfarsnýtsla,1.000 tons,,1.0394
2011,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,0.021517663985757
2011,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,0.077467727990937
2011,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,1.000 tons,,366.4015
2011,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,7.58524568104421
2011,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,27.3083430223892
2011,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,1.000 tons,,149.7137
2011,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,3.09937376434908
2011,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,11.1583415317652
2012,Tilsamans,Innlendis tilfarsnýtsla,1.000 tons,,905.2062
2012,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,18.8178864323802
2012,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,64.7255475392019
2012,Biomassi,Innlendis tilfarsnýtsla,1.000 tons,,225.2761
2012,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,4.68315403245086
2012,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,16.10806346664
2012,Metalmálmur,Innlendis tilfarsnýtsla,1.000 tons,,3.4374
2012,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,0.071458417786648
2012,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,0.24578664740835
2012,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,1.000 tons,,472.7322
2012,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,9.82739717484175
2012,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,33.8020778960766
2012,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,1.000 tons,,203.7606
2012,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,4.23587888615174
2012,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,14.569626679442
2013,Tilsamans,Innlendis tilfarsnýtsla,1.000 tons,,1044.3704
2013,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,21.7235473370012
2013,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,69.4556845010475
2013,Biomassi,Innlendis tilfarsnýtsla,1.000 tons,,342.8754
2013,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,7.13201942777506
2013,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,22.8028730090114
2013,Metalmálmur,Innlendis tilfarsnýtsla,1.000 tons,,4.9422
2013,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,0.102800802903766
2013,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,0.328680211485386
2013,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,1.000 tons,,444.5531
2013,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,9.24697819055444
2013,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,29.5649319988029
2013,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,1.000 tons,,251.9997
2013,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,5.24174891576791
2013,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,16.7591992817478
2014,Tilsamans,Innlendis tilfarsnýtsla,1.000 tons,,1407.1851
2014,Tilsamans,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,29.1005273389031
2014,Tilsamans,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,86.4226290641544
2014,Biomassi,Innlendis tilfarsnýtsla,1.000 tons,,365.4217
2014,Biomassi,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,7.55690503763752
2014,Biomassi,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,22.4424661909032
2014,Metalmálmur,Innlendis tilfarsnýtsla,1.000 tons,,6.0619
2014,Metalmálmur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,0.125359831251551
2014,Metalmálmur,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,0.372293122719959
2014,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla,1.000 tons,,786.0841
2014,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,16.2561853751344
2014,Ikki-metalhavin steinsløg,Innlendis tilfarsnýtsla fyri hvørja BTÚ-eind,1.000 tons,,48.2775539532998
2014,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla,1.000 tons,,249.6174
2014,Lívrunnin brennievni og aðrar framleiðslur,Innlendis tilfarsnýtsla fyri hvønn íbúgva,1.000 tons,,5.16207709487964
