"Year","Units","material type","Value"
"2008","data.domesticmaterialconsumptionpercapita","data.fossilenergyandotherproducts",4.41
"2008","data.domesticmaterialconsumptionperunitofgdp","",122.99
"2008","data.domesticmaterialconsumptionperunitofgdp","data.biomass",35.94
"2008","data.domesticmaterialconsumptionperunitofgdp","data.metallicminerals",0.01
"2008","data.domesticmaterialconsumptionperunitofgdp","data.non-metallicminerals",70.21
"2008","data.domesticmaterialconsumptionperunitofgdp","data.fossilenergyandotherproducts",16.83
"2008","","",113.27
"2008","","data.biomass",33.10
"2008","","data.metallicminerals",0.01
"2008","","data.non-metallicminerals",64.66
"2008","","data.fossilenergyandotherproducts",15.50
"2009","data.domesticmaterialconsumption","",926.84
"2009","data.domesticmaterialconsumption","data.biomass",298.35
"2009","data.domesticmaterialconsumption","data.metallicminerals",-1.59
"2009","data.domesticmaterialconsumption","data.non-metallicminerals",402.95
"2009","data.domesticmaterialconsumption","data.fossilenergyandotherproducts",227.13
"2009","data.domesticmaterialconsumptionpercapita","",19.09
"2009","data.domesticmaterialconsumptionpercapita","data.biomass",6.15
"2009","data.domesticmaterialconsumptionpercapita","data.metallicminerals",-0.03
"2009","data.domesticmaterialconsumptionpercapita","data.non-metallicminerals",8.30
"2009","data.domesticmaterialconsumptionpercapita","data.fossilenergyandotherproducts",4.68
"2009","data.domesticmaterialconsumptionperunitofgdp","",75.30
"2009","data.domesticmaterialconsumptionperunitofgdp","data.biomass",24.24
"2009","data.domesticmaterialconsumptionperunitofgdp","data.metallicminerals",-0.13
"2009","data.domesticmaterialconsumptionperunitofgdp","data.non-metallicminerals",32.74
"2009","data.domesticmaterialconsumptionperunitofgdp","data.fossilenergyandotherproducts",18.45
"2009","","",70.27
"2009","","data.biomass",22.62
"2009","","data.metallicminerals",-0.12
"2009","","data.non-metallicminerals",30.55
"2009","","data.fossilenergyandotherproducts",17.22
"2010","data.domesticmaterialconsumption","",831.08
"2010","data.domesticmaterialconsumption","data.biomass",343.99
"2010","data.domesticmaterialconsumption","data.metallicminerals",-3.20
"2010","data.domesticmaterialconsumption","data.non-metallicminerals",262.13
"2010","data.domesticmaterialconsumption","data.fossilenergyandotherproducts",228.16
"2010","data.domesticmaterialconsumptionpercapita","",17.15
"2010","data.domesticmaterialconsumptionpercapita","data.biomass",7.10
"2010","data.domesticmaterialconsumptionpercapita","data.metallicminerals",-0.07
"2010","data.domesticmaterialconsumptionpercapita","data.non-metallicminerals",5.41
